date,temperature
1981-09-01,27.18
1981-10-01,28.18
1981-11-01,27.43
1981-12-01,26.75
1982-01-01,26.43
1982-02-01,26.82
1982-03-01,27.48
1982-04-01,28.9
1982-05-01,29.67
1982-06-01,28.75
1982-07-01,27.8
1982-08-01,26.97
1982-09-01,27.48
1982-10-01,28.48
1982-11-01,28.02
1982-12-01,27.28
1983-01-01,26.54
1983-02-01,26.73
1983-03-01,27.37
1983-04-01,28.58
1983-05-01,29.32
1983-06-01,29.18
1983-07-01,28.25
1983-08-01,27.5
1983-09-01,27.58
1983-10-01,28.12
1983-11-01,27.78
1983-12-01,26.93
1984-01-01,26.23
1984-02-01,26.08
1984-03-01,27.29
1984-04-01,28.88
1984-05-01,29.17
1984-06-01,27.97
1984-07-01,27
1984-08-01,26.4
1984-09-01,26.72
1984-10-01,27.58
1984-11-01,27.43
1984-12-01,26.88
1985-01-01,26.38
1985-02-01,26.43
1985-03-01,27.51
1985-04-01,28.84
1985-05-01,29.15
1985-06-01,27.75
1985-07-01,26.89
1985-08-01,26.44
1985-09-01,27.04
1985-10-01,27.54
1985-11-01,27.61
1985-12-01,26.69
1986-01-01,26.21
1986-02-01,26.46
1986-03-01,27.44
1986-04-01,28.84
1986-05-01,29.38
1986-06-01,28.42
1986-07-01,27
1986-08-01,26.41
1986-09-01,26.98
1986-10-01,27.7
1986-11-01,27.82
1986-12-01,26.89
1987-01-01,26.27
1987-02-01,26.58
1987-03-01,27.63
1987-04-01,28.69
1987-05-01,29.92
1987-06-01,28.67
1987-07-01,27.84
1987-08-01,27.55
1987-09-01,27.85
1987-10-01,28.42
1987-11-01,28.23
1987-12-01,27.48
1988-01-01,27.03
1988-02-01,27.24
1988-03-01,28.14
1988-04-01,29.25
1988-05-01,29.35
1988-06-01,28.72
1988-07-01,27.65
1988-08-01,27.17
1988-09-01,27.53
1988-10-01,27.99
1988-11-01,28.02
1988-12-01,27.28
1989-01-01,26.32
1989-02-01,26.51
1989-03-01,27.47
1989-04-01,28.41
1989-05-01,29.01
1989-06-01,28.01
1989-07-01,27.16
1989-08-01,26.74
1989-09-01,27.39
1989-10-01,27.92
1989-11-01,27.93
1989-12-01,27.26
1990-01-01,26.71
1990-02-01,27.09
1990-03-01,27.78
1990-04-01,28.9
1990-05-01,29.43
1990-06-01,28.29
1990-07-01,27.25
1990-08-01,26.91
1990-09-01,27.26
1990-10-01,27.85
1990-11-01,27.96
1990-12-01,27.27
1991-01-01,26.77
1991-02-01,26.92
1991-03-01,27.74
1991-04-01,29.34
1991-05-01,29.91
1991-06-01,28.5
1991-07-01,27.55
1991-08-01,26.82
1991-09-01,27.29
1991-10-01,27.97
1991-11-01,27.86
1991-12-01,27.13
1992-01-01,26.56
1992-02-01,26.68
1992-03-01,27.33
1992-04-01,28.33
1992-05-01,29.31
1992-06-01,28.64
1992-07-01,27.64
1992-08-01,26.7
1992-09-01,27.07
1992-10-01,27.8
1992-11-01,27.91
1992-12-01,27.07
1993-01-01,26.64
1993-02-01,26.83
1993-03-01,27.36
1993-04-01,28.51
1993-05-01,29.48
1993-06-01,28.66
1993-07-01,27.57
1993-08-01,26.86
1993-09-01,27.22
1993-10-01,27.69
1993-11-01,27.81
1993-12-01,27.11
1994-01-01,26.76
1994-02-01,26.6
1994-03-01,27.5
1994-04-01,29.02
1994-05-01,29.62
1994-06-01,28.05
1994-07-01,27.04
1994-08-01,26.65
1994-09-01,26.87
1994-10-01,28.09
1994-11-01,27.7
1994-12-01,26.95
1995-01-01,26.31
1995-02-01,26.84
1995-03-01,27.42
1995-04-01,28.6
1995-05-01,29.19
1995-06-01,28.7
1995-07-01,27.46
1995-08-01,27.17
1995-09-01,27.41
1995-10-01,28.04
1995-11-01,27.71
1995-12-01,27.17
1996-01-01,26.67
1996-02-01,26.78
1996-03-01,27.74
1996-04-01,28.8
1996-05-01,29.47
1996-06-01,28.51
1996-07-01,27.29
1996-08-01,26.38
1996-09-01,26.9
1996-10-01,27.25
1996-11-01,27.23
1996-12-01,26.74
1997-01-01,26.33
1997-02-01,26.36
1997-03-01,27.57
1997-04-01,28.8
1997-05-01,29.27
1997-06-01,29.11
1997-07-01,27.79
1997-08-01,27.25
1997-09-01,27.76
1997-10-01,28.51
1997-11-01,28.58
1997-12-01,27.65
1998-01-01,27.29
1998-02-01,27.53
1998-03-01,28.25
1998-04-01,29.57
1998-05-01,30.24
1998-06-01,29.22
1998-07-01,27.64
1998-08-01,27.38
1998-09-01,27.64
1998-10-01,27.88
1998-11-01,27.9
1998-12-01,27.29
1999-01-01,26.52
1999-02-01,26.83
1999-03-01,27.89
1999-04-01,28.76
1999-05-01,28.88
1999-06-01,28.25
1999-07-01,27.43
1999-08-01,26.89
1999-09-01,27.41
1999-10-01,27.81
1999-11-01,28.03
1999-12-01,27.32
2000-01-01,26.82
2000-02-01,26.8
2000-03-01,27.64
2000-04-01,28.89
2000-05-01,29.29
2000-06-01,28.23
2000-07-01,27.3
2000-08-01,27.17
2000-09-01,27.54
2000-10-01,28.18
2000-11-01,28.22
2000-12-01,27.28
2001-01-01,26.62
2001-02-01,26.55
2001-03-01,27.84
2001-04-01,29.06
2001-05-01,29.65
2001-06-01,28.39
2001-07-01,27.26
2001-08-01,27.01
2001-09-01,27.47
2001-10-01,28.02
2001-11-01,28.11
2001-12-01,27.57
2002-01-01,26.94
2002-02-01,26.83
2002-03-01,28
2002-04-01,29.2
2002-05-01,29.48
2002-06-01,28.64
2002-07-01,27.59
2002-08-01,26.99
2002-09-01,27.86
2002-10-01,28.52
2002-11-01,28.41
2002-12-01,27.76
2003-01-01,26.9
2003-02-01,27.3
2003-03-01,28.08
2003-04-01,29.42
2003-05-01,29.96
2003-06-01,29.33
2003-07-01,27.83
2003-08-01,27.17
2003-09-01,27.69
2003-10-01,28.22
2003-11-01,28.04
2003-12-01,27.29
2004-01-01,26.76
2004-02-01,26.99
2004-03-01,28.01
2004-04-01,29.2
2004-05-01,29.13
2004-06-01,28.15
2004-07-01,27.19
2004-08-01,26.93
2004-09-01,27.63
2004-10-01,27.96
2004-11-01,28.03
2004-12-01,27.3
2005-01-01,26.71
2005-02-01,26.95
2005-03-01,27.86
2005-04-01,29.09
2005-05-01,30.02
2005-06-01,29.14
2005-07-01,27.5
2005-08-01,27.27
2005-09-01,27.47
2005-10-01,28.13
2005-11-01,28.01
2005-12-01,27.11
2006-01-01,26.49
2006-02-01,26.82
2006-03-01,27.74
2006-04-01,28.89
2006-05-01,29.56
2006-06-01,28.88
2006-07-01,27.46
2006-08-01,27.29
2006-09-01,27.55
2006-10-01,28.42
2006-11-01,28.33
2006-12-01,27.66
2007-01-01,26.94
2007-02-01,27.32
2007-03-01,28.17
2007-04-01,29.37
2007-05-01,29.96
2007-06-01,29.13
2007-07-01,27.76
2007-08-01,27.47
2007-09-01,27.66
2007-10-01,28.22
2007-11-01,27.95
2007-12-01,27.37
2008-01-01,26.75
2008-02-01,26.4
2008-03-01,27.45
2008-04-01,28.63
2008-05-01,29.52
2008-06-01,28.56
2008-07-01,27.47
2008-08-01,27.09
2008-09-01,27.53
2008-10-01,28.3
2008-11-01,28.08
2008-12-01,27.22
2009-01-01,26.88
2009-02-01,27.14
2009-03-01,28.12
2009-04-01,29.1
2009-05-01,29.72
2009-06-01,29.11
2009-07-01,27.88
2009-08-01,27.49
2009-09-01,27.72
2009-10-01,28.54
2009-11-01,28.31
2009-12-01,27.97
2010-01-01,27.36
2010-02-01,27.52
2010-03-01,28.55
2010-04-01,29.92
2010-05-01,30.21
2010-06-01,29.23
2010-07-01,28.05
2010-08-01,27.36
2010-09-01,27.6
2010-10-01,28.23
2010-11-01,28.25
2010-12-01,27.31
2011-01-01,26.46
2011-02-01,26.79
2011-03-01,27.68
2011-04-01,28.83
2011-05-01,29.6
2011-06-01,28.78
2011-07-01,27.59
2011-08-01,27.44
2011-09-01,27.49
2011-10-01,28.61
2011-11-01,28.44
2011-12-01,27.7
2012-01-01,26.8
2012-02-01,26.72
2012-03-01,27.31
2012-04-01,28.79
2012-05-01,29.62
2012-06-01,28.66
2012-07-01,27.76
2012-08-01,27.57
2012-09-01,27.89
2012-10-01,28.63
2012-11-01,28.41
2012-12-01,27.89
2013-01-01,27.18
2013-02-01,27.03
2013-03-01,28.11
2013-04-01,29.16
2013-05-01,29.69
2013-06-01,28.38
2013-07-01,27.21
2013-08-01,26.88
2013-09-01,27.46
2013-10-01,28.35
2013-11-01,28.47
2013-12-01,27.37
2014-01-01,26.46
2014-02-01,26.7
2014-03-01,27.61
2014-04-01,29.19
2014-05-01,30
2014-06-01,29.15
2014-07-01,27.78
2014-08-01,27.11
2014-09-01,27.55
2014-10-01,28.63
2014-11-01,28.38
2014-12-01,27.64
2015-01-01,26.66
2015-02-01,26.98
2015-03-01,28
2015-04-01,29.66
2015-05-01,29.98
2015-06-01,29.1
2015-07-01,28.14
2015-08-01,28.06
2015-09-01,28.66
2015-10-01,29.2
2015-11-01,28.8
2015-12-01,28.15
2016-01-01,27.66
2016-02-01,27.53
2016-03-01,28.85
2016-04-01,30
2016-05-01,30.28
2016-06-01,29.05
2016-07-01,27.55
2016-08-01,27.44
2016-09-01,27.44
2016-10-01,28.13
2016-11-01,28.12
2016-12-01,27.66
2017-01-01,27.05
2017-02-01,27.1
2017-03-01,28.16
2017-04-01,29.52
2017-05-01,30.16
2017-06-01,29.12
2017-07-01,28.17
2017-08-01,27.89
2017-09-01,28.1
2017-10-01,28.8
2017-11-01,28.54
2017-12-01,27.25
2018-01-01,26.64
2018-02-01,27
2018-03-01,28.22
2018-04-01,29.55
2018-05-01,30.01
2018-06-01,28.77
2018-07-01,27.51
2018-08-01,27.02
2018-09-01,27.92
2018-10-01,28.59
2018-11-01,28.68
2018-12-01,27.92
2019-01-01,27.13
2019-02-01,27.08
2019-03-01,27.97
2019-04-01,29.49
2019-05-01,30.28
2019-06-01,29.51
2019-07-01,28.3
2019-08-01,27.69
2019-09-01,28.04
2019-10-01,28.96
2019-11-01,28.67
2019-12-01,27.92
2020-01-01,27.46
2020-02-01,27.31
2020-03-01,28.24
2020-04-01,29.63
2020-05-01,30.32
2020-06-01,29.38
2020-07-01,28.58
2020-08-01,27.76
2020-09-01,28
2020-10-01,28.62
2020-11-01,28.39
2020-12-01,27.69
2021-01-01,26.66
2021-02-01,27.14
2021-03-01,28.26
2021-04-01,29.47
2021-05-01,29.9
2021-06-01,28.83
2021-07-01,28.07
2021-08-01,27.38
2021-09-01,27.85
2021-10-01,28.3
2021-11-01,28.07
2021-12-01,27.48
2022-01-01,27.12
2022-02-01,27.01
2022-03-01,28.19
2022-04-01,29.76
2022-05-01,29.81
2022-06-01,29.06
2022-07-01,27.48
2022-08-01,27.18
2022-09-01,27.65
2022-10-01,28.22
2022-11-01,28.28
2022-12-01,27.68
2023-01-01,26.9
2023-02-01,27.06
2023-03-01,28.26
2023-04-01,29.73
2023-05-01,30.33
2023-06-01,29.48
2023-07-01,28.19
2023-08-01,28.05
2023-09-01,28.55
2023-10-01,29.15
2023-11-01,29.16
2023-12-01,28.35
2024-01-01,27.91
2024-02-01,28.21
2024-03-01,28.73
NA,NA
