date,temperature
1981-09-01,21.99
1981-10-01,21.6
1981-11-01,21.26
1981-12-01,20.95
1982-01-01,20.64
1982-02-01,20.61
1982-03-01,20.69
1982-04-01,20.67
1982-05-01,20.82
1982-06-01,21.24
1982-07-01,21.59
1982-08-01,21.79
1982-09-01,21.8
1982-10-01,21.44
1982-11-01,20.97
1982-12-01,20.68
1983-01-01,20.72
1983-02-01,20.81
1983-03-01,20.85
1983-04-01,20.85
1983-05-01,21
1983-06-01,21.34
1983-07-01,21.74
1983-08-01,22.02
1983-09-01,21.93
1983-10-01,21.52
1983-11-01,21.25
1983-12-01,21
1984-01-01,20.82
1984-02-01,20.85
1984-03-01,20.88
1984-04-01,20.85
1984-05-01,21.08
1984-06-01,21.38
1984-07-01,21.81
1984-08-01,22.18
1984-09-01,22.09
1984-10-01,21.6
1984-11-01,21.11
1984-12-01,20.81
1985-01-01,20.51
1985-02-01,20.49
1985-03-01,20.54
1985-04-01,20.58
1985-05-01,20.88
1985-06-01,21.37
1985-07-01,21.78
1985-08-01,21.98
1985-09-01,21.85
1985-10-01,21.48
1985-11-01,21.02
1985-12-01,20.67
1986-01-01,20.55
1986-02-01,20.69
1986-03-01,20.69
1986-04-01,20.71
1986-05-01,20.98
1986-06-01,21.35
1986-07-01,21.74
1986-08-01,21.94
1986-09-01,21.86
1986-10-01,21.41
1986-11-01,20.97
1986-12-01,20.72
1987-01-01,20.62
1987-02-01,20.63
1987-03-01,20.85
1987-04-01,21.03
1987-05-01,21.26
1987-06-01,21.67
1987-07-01,22.18
1987-08-01,22.45
1987-09-01,22.25
1987-10-01,21.82
1987-11-01,21.39
1987-12-01,21.09
1988-01-01,20.9
1988-02-01,20.85
1988-03-01,20.94
1988-04-01,21.02
1988-05-01,21.28
1988-06-01,21.67
1988-07-01,22
1988-08-01,22.2
1988-09-01,22.03
1988-10-01,21.68
1988-11-01,21.25
1988-12-01,20.87
1989-01-01,20.78
1989-02-01,20.78
1989-03-01,20.77
1989-04-01,20.77
1989-05-01,21.05
1989-06-01,21.59
1989-07-01,22
1989-08-01,22.33
1989-09-01,22.06
1989-10-01,21.66
1989-11-01,21.15
1989-12-01,20.82
1990-01-01,20.57
1990-02-01,20.71
1990-03-01,20.81
1990-04-01,21.01
1990-05-01,21.16
1990-06-01,21.52
1990-07-01,21.91
1990-08-01,22.23
1990-09-01,22.2
1990-10-01,21.84
1990-11-01,21.32
1990-12-01,20.95
1991-01-01,20.6
1991-02-01,20.73
1991-03-01,20.77
1991-04-01,20.91
1991-05-01,21.13
1991-06-01,21.45
1991-07-01,21.82
1991-08-01,22.07
1991-09-01,22.01
1991-10-01,21.5
1991-11-01,21.02
1991-12-01,20.81
1992-01-01,20.59
1992-02-01,20.62
1992-03-01,20.62
1992-04-01,20.64
1992-05-01,20.87
1992-06-01,21.23
1992-07-01,21.6
1992-08-01,21.79
1992-09-01,21.72
1992-10-01,21.34
1992-11-01,20.93
1992-12-01,20.64
1993-01-01,20.65
1993-02-01,20.68
1993-03-01,20.66
1993-04-01,20.94
1993-05-01,20.97
1993-06-01,21.29
1993-07-01,21.68
1993-08-01,22.03
1993-09-01,22.16
1993-10-01,21.75
1993-11-01,21.29
1993-12-01,20.9
1994-01-01,20.65
1994-02-01,20.55
1994-03-01,20.7
1994-04-01,20.78
1994-05-01,21.04
1994-06-01,21.36
1994-07-01,21.73
1994-08-01,22.06
1994-09-01,21.89
1994-10-01,21.62
1994-11-01,21.31
1994-12-01,20.95
1995-01-01,20.85
1995-02-01,20.88
1995-03-01,20.99
1995-04-01,21.09
1995-05-01,21.38
1995-06-01,21.79
1995-07-01,22.15
1995-08-01,22.27
1995-09-01,22.12
1995-10-01,21.81
1995-11-01,21.4
1995-12-01,20.98
1996-01-01,20.78
1996-02-01,20.89
1996-03-01,20.8
1996-04-01,21
1996-05-01,21.13
1996-06-01,21.54
1996-07-01,21.85
1996-08-01,22.17
1996-09-01,22.03
1996-10-01,21.59
1996-11-01,21.1
1996-12-01,20.75
1997-01-01,20.61
1997-02-01,20.62
1997-03-01,20.64
1997-04-01,20.71
1997-05-01,20.95
1997-06-01,21.28
1997-07-01,21.91
1997-08-01,22.19
1997-09-01,22.19
1997-10-01,21.95
1997-11-01,21.5
1997-12-01,21.16
1998-01-01,21.07
1998-02-01,21.12
1998-03-01,21.14
1998-04-01,21.19
1998-05-01,21.38
1998-06-01,21.88
1998-07-01,22.36
1998-08-01,22.57
1998-09-01,22.3
1998-10-01,21.97
1998-11-01,21.56
1998-12-01,21.18
1999-01-01,20.85
1999-02-01,20.84
1999-03-01,20.93
1999-04-01,21.07
1999-05-01,21.38
1999-06-01,21.64
1999-07-01,22.15
1999-08-01,22.47
1999-09-01,22.33
1999-10-01,21.78
1999-11-01,21.33
1999-12-01,21.07
2000-01-01,20.78
2000-02-01,20.87
2000-03-01,20.95
2000-04-01,20.96
2000-05-01,21.22
2000-06-01,21.52
2000-07-01,22.01
2000-08-01,22.29
2000-09-01,22.21
2000-10-01,21.81
2000-11-01,21.39
2000-12-01,21.02
2001-01-01,20.91
2001-02-01,20.93
2001-03-01,21.04
2001-04-01,21.09
2001-05-01,21.32
2001-06-01,21.76
2001-07-01,22.16
2001-08-01,22.41
2001-09-01,22.37
2001-10-01,21.89
2001-11-01,21.56
2001-12-01,21.23
2002-01-01,21.08
2002-02-01,20.96
2002-03-01,21.07
2002-04-01,21.06
2002-05-01,21.29
2002-06-01,21.63
2002-07-01,22
2002-08-01,22.39
2002-09-01,22.22
2002-10-01,21.95
2002-11-01,21.52
2002-12-01,21.17
2003-01-01,21.13
2003-02-01,21.15
2003-03-01,21.3
2003-04-01,21.23
2003-05-01,21.41
2003-06-01,21.75
2003-07-01,22.36
2003-08-01,22.81
2003-09-01,22.59
2003-10-01,22.31
2003-11-01,21.71
2003-12-01,21.37
2004-01-01,21.07
2004-02-01,20.97
2004-03-01,20.99
2004-04-01,21.1
2004-05-01,21.19
2004-06-01,21.71
2004-07-01,22.2
2004-08-01,22.62
2004-09-01,22.45
2004-10-01,22.05
2004-11-01,21.66
2004-12-01,21.29
2005-01-01,21.18
2005-02-01,21.06
2005-03-01,21.26
2005-04-01,21.42
2005-05-01,21.5
2005-06-01,21.85
2005-07-01,22.37
2005-08-01,22.67
2005-09-01,22.55
2005-10-01,22.07
2005-11-01,21.61
2005-12-01,21.35
2006-01-01,21.12
2006-02-01,21.11
2006-03-01,21.11
2006-04-01,21.29
2006-05-01,21.56
2006-06-01,21.89
2006-07-01,22.25
2006-08-01,22.64
2006-09-01,22.57
2006-10-01,22.16
2006-11-01,21.71
2006-12-01,21.37
2007-01-01,21.21
2007-02-01,21.23
2007-03-01,21.22
2007-04-01,21.28
2007-05-01,21.47
2007-06-01,21.76
2007-07-01,22.2
2007-08-01,22.37
2007-09-01,22.4
2007-10-01,22.07
2007-11-01,21.67
2007-12-01,21.31
2008-01-01,21.11
2008-02-01,21.14
2008-03-01,21.21
2008-04-01,21.23
2008-05-01,21.61
2008-06-01,22.01
2008-07-01,22.41
2008-08-01,22.68
2008-09-01,22.52
2008-10-01,22.04
2008-11-01,21.52
2008-12-01,21.17
2009-01-01,20.97
2009-02-01,20.84
2009-03-01,20.98
2009-04-01,21.15
2009-05-01,21.37
2009-06-01,21.93
2009-07-01,22.37
2009-08-01,22.55
2009-09-01,22.44
2009-10-01,22.17
2009-11-01,21.75
2009-12-01,21.5
2010-01-01,21.31
2010-02-01,21.31
2010-03-01,21.41
2010-04-01,21.55
2010-05-01,21.79
2010-06-01,22.19
2010-07-01,22.51
2010-08-01,22.79
2010-09-01,22.54
2010-10-01,22.17
2010-11-01,21.7
2010-12-01,21.24
2011-01-01,21.06
2011-02-01,21.18
2011-03-01,21.16
2011-04-01,21.27
2011-05-01,21.45
2011-06-01,21.77
2011-07-01,22.16
2011-08-01,22.46
2011-09-01,22.36
2011-10-01,21.97
2011-11-01,21.36
2011-12-01,20.9
2012-01-01,20.89
2012-02-01,20.85
2012-03-01,21.04
2012-04-01,21.1
2012-05-01,21.36
2012-06-01,21.75
2012-07-01,22.32
2012-08-01,22.67
2012-09-01,22.58
2012-10-01,22.07
2012-11-01,21.58
2012-12-01,21.28
2013-01-01,21.13
2013-02-01,21.1
2013-03-01,21.21
2013-04-01,21.17
2013-05-01,21.35
2013-06-01,21.71
2013-07-01,22.25
2013-08-01,22.6
2013-09-01,22.5
2013-10-01,22.19
2013-11-01,21.59
2013-12-01,21.26
2014-01-01,21.14
2014-02-01,21.27
2014-03-01,21.15
2014-04-01,21.23
2014-05-01,21.47
2014-06-01,21.85
2014-07-01,22.35
2014-08-01,22.64
2014-09-01,22.57
2014-10-01,22.25
2014-11-01,21.64
2014-12-01,21.3
2015-01-01,21.33
2015-02-01,21.24
2015-03-01,21.12
2015-04-01,21.23
2015-05-01,21.45
2015-06-01,21.78
2015-07-01,22.19
2015-08-01,22.49
2015-09-01,22.56
2015-10-01,22.22
2015-11-01,21.77
2015-12-01,21.55
2016-01-01,21.41
2016-02-01,21.38
2016-03-01,21.43
2016-04-01,21.44
2016-05-01,21.71
