date,temperature
1981-09-01,28.05
1981-10-01,28.48
1981-11-01,28.19
1981-12-01,27.66
1982-01-01,27.31
1982-02-01,27.79
1982-03-01,28.54
1982-04-01,29.53
1982-05-01,29.86
1982-06-01,29.01
1982-07-01,28.54
1982-08-01,28.63
1982-09-01,28.49
1982-10-01,28.84
1982-11-01,28.59
1982-12-01,27.82
1983-01-01,27.65
1983-02-01,27.82
1983-03-01,28.68
1983-04-01,29.62
1983-05-01,30.02
1983-06-01,29.58
1983-07-01,29.09
1983-08-01,28.64
1983-09-01,28.58
1983-10-01,28.41
1983-11-01,28.13
1983-12-01,27.56
1984-01-01,27.38
1984-02-01,27.61
1984-03-01,28.42
1984-04-01,29.12
1984-05-01,29.16
1984-06-01,28.92
1984-07-01,28.41
1984-08-01,28.14
1984-09-01,28.29
1984-10-01,28.22
1984-11-01,28.29
1984-12-01,27.66
1985-01-01,27.53
1985-02-01,27.69
1985-03-01,28.41
1985-04-01,29.14
1985-05-01,29.37
1985-06-01,28.67
1985-07-01,28.16
1985-08-01,28.07
1985-09-01,28.11
1985-10-01,28.15
1985-11-01,28.02
1985-12-01,27.52
1986-01-01,27.08
1986-02-01,27.58
1986-03-01,28.07
1986-04-01,29.05
1986-05-01,29.28
1986-06-01,29.16
1986-07-01,28.5
1986-08-01,28.01
1986-09-01,28.13
1986-10-01,28.2
1986-11-01,28.35
1986-12-01,27.92
1987-01-01,27.29
1987-02-01,27.69
1987-03-01,28.57
1987-04-01,29.16
1987-05-01,29.74
1987-06-01,29.52
1987-07-01,28.9
1987-08-01,28.75
1987-09-01,28.82
1987-10-01,29.05
1987-11-01,28.86
1987-12-01,28.55
1988-01-01,27.79
1988-02-01,28.18
1988-03-01,29.24
1988-04-01,29.89
1988-05-01,29.44
1988-06-01,29.28
1988-07-01,29.03
1988-08-01,28.7
1988-09-01,28.79
1988-10-01,28.74
1988-11-01,28.44
1988-12-01,27.64
1989-01-01,27.24
1989-02-01,27.47
1989-03-01,28.46
1989-04-01,29.07
1989-05-01,29.04
1989-06-01,28.67
1989-07-01,28.33
1989-08-01,28.19
1989-09-01,28.38
1989-10-01,28.25
1989-11-01,28.26
1989-12-01,27.75
1990-01-01,27.46
1990-02-01,27.92
1990-03-01,28.95
1990-04-01,29.36
1990-05-01,29.53
1990-06-01,28.93
1990-07-01,28.6
1990-08-01,28.27
1990-09-01,28.58
1990-10-01,28.52
1990-11-01,28.35
1990-12-01,27.98
1991-01-01,27.56
1991-02-01,28.12
1991-03-01,28.82
1991-04-01,29.58
1991-05-01,29.78
1991-06-01,29.33
1991-07-01,28.93
1991-08-01,28.7
1991-09-01,28.73
1991-10-01,28.5
1991-11-01,28.32
1991-12-01,27.65
1992-01-01,27.26
1992-02-01,27.68
1992-03-01,28.41
1992-04-01,29.56
1992-05-01,29.82
1992-06-01,29.31
1992-07-01,28.82
1992-08-01,28.23
1992-09-01,28.24
1992-10-01,28.41
1992-11-01,28.14
1992-12-01,27.46
1993-01-01,27.26
1993-02-01,27.41
1993-03-01,28.36
1993-04-01,29.35
1993-05-01,29.58
1993-06-01,29.15
1993-07-01,28.7
1993-08-01,28.21
1993-09-01,28.47
1993-10-01,28.5
1993-11-01,28.19
1993-12-01,27.63
1994-01-01,27.54
1994-02-01,27.7
1994-03-01,28.15
1994-04-01,29.2
1994-05-01,29.08
1994-06-01,28.78
1994-07-01,28.4
1994-08-01,28.21
1994-09-01,28.06
1994-10-01,28.3
1994-11-01,27.99
1994-12-01,27.79
1995-01-01,27.5
1995-02-01,27.9
1995-03-01,28.57
1995-04-01,29.88
1995-05-01,29.19
1995-06-01,28.91
1995-07-01,28.94
1995-08-01,28.52
1995-09-01,28.53
1995-10-01,28.49
1995-11-01,28.31
1995-12-01,27.66
1996-01-01,27.23
1996-02-01,27.18
1996-03-01,28.39
1996-04-01,29.37
1996-05-01,29.33
1996-06-01,29.04
1996-07-01,28.58
1996-08-01,28.3
1996-09-01,28.27
1996-10-01,28.21
1996-11-01,28.13
1996-12-01,27.61
1997-01-01,27.38
1997-02-01,27.56
1997-03-01,28.66
1997-04-01,29.46
1997-05-01,29.5
1997-06-01,29.52
1997-07-01,28.8
1997-08-01,28.4
1997-09-01,28.62
1997-10-01,28.8
1997-11-01,28.46
1997-12-01,28.02
1998-01-01,27.81
1998-02-01,28.19
1998-03-01,29.16
1998-04-01,30.12
1998-05-01,30.41
1998-06-01,29.67
1998-07-01,29.11
1998-08-01,28.89
1998-09-01,28.8
1998-10-01,28.86
1998-11-01,28.45
1998-12-01,28.1
1999-01-01,27.65
1999-02-01,27.88
1999-03-01,28.77
1999-04-01,29.08
1999-05-01,29.13
1999-06-01,28.65
1999-07-01,28.55
1999-08-01,28.35
1999-09-01,28.37
1999-10-01,28.29
1999-11-01,28.28
1999-12-01,27.9
2000-01-01,27.47
2000-02-01,27.75
2000-03-01,28.57
2000-04-01,28.89
2000-05-01,29.43
2000-06-01,28.79
2000-07-01,28.56
2000-08-01,28.32
2000-09-01,28.49
2000-10-01,28.62
2000-11-01,28.52
2000-12-01,27.62
2001-01-01,27.3
2001-02-01,27.8
2001-03-01,28.68
2001-04-01,29.63
2001-05-01,29.77
2001-06-01,29.19
2001-07-01,28.64
2001-08-01,28.5
2001-09-01,28.6
2001-10-01,28.62
2001-11-01,28.43
2001-12-01,28.09
2002-01-01,27.72
2002-02-01,27.9
2002-03-01,28.71
2002-04-01,29.74
2002-05-01,29.55
2002-06-01,29.27
2002-07-01,28.97
2002-08-01,28.6
2002-09-01,28.67
2002-10-01,28.83
2002-11-01,28.47
2002-12-01,28.22
2003-01-01,27.81
2003-02-01,28.21
2003-03-01,28.84
2003-04-01,29.87
2003-05-01,29.54
2003-06-01,29.25
2003-07-01,28.83
2003-08-01,28.66
2003-09-01,28.65
2003-10-01,28.7
2003-11-01,28.5
2003-12-01,28.02
2004-01-01,27.75
2004-02-01,28.05
2004-03-01,28.51
2004-04-01,29.78
2004-05-01,29.45
2004-06-01,29.08
2004-07-01,28.68
2004-08-01,28.63
2004-09-01,28.6
2004-10-01,28.65
2004-11-01,28.59
2004-12-01,27.91
2005-01-01,27.64
2005-02-01,28.27
2005-03-01,28.95
2005-04-01,29.68
2005-05-01,29.94
2005-06-01,29.32
2005-07-01,28.84
2005-08-01,28.89
2005-09-01,28.74
2005-10-01,28.68
2005-11-01,28.34
2005-12-01,27.95
2006-01-01,27.57
2006-02-01,27.95
2006-03-01,28.81
2006-04-01,29.34
2006-05-01,29.66
2006-06-01,29.51
2006-07-01,28.87
2006-08-01,28.77
2006-09-01,28.63
2006-10-01,28.73
2006-11-01,28.82
2006-12-01,28.06
2007-01-01,27.48
2007-02-01,27.88
2007-03-01,28.37
2007-04-01,29.53
2007-05-01,29.51
2007-06-01,29.6
2007-07-01,28.92
2007-08-01,28.75
2007-09-01,28.67
2007-10-01,28.57
2007-11-01,28.52
2007-12-01,27.83
2008-01-01,27.67
2008-02-01,28.15
2008-03-01,28.6
2008-04-01,29.46
2008-05-01,29.24
2008-06-01,29.23
2008-07-01,28.9
2008-08-01,28.52
2008-09-01,28.95
2008-10-01,29.36
2008-11-01,28.81
2008-12-01,28.16
2009-01-01,27.64
2009-02-01,27.89
2009-03-01,28.79
2009-04-01,29.52
2009-05-01,29.7
2009-06-01,29.32
2009-07-01,29.18
2009-08-01,28.88
2009-09-01,28.67
2009-10-01,28.85
2009-11-01,28.69
2009-12-01,28.36
2010-01-01,28.07
2010-02-01,28.25
2010-03-01,29.37
2010-04-01,30.17
2010-05-01,30.58
2010-06-01,29.72
2010-07-01,29.28
2010-08-01,28.92
2010-09-01,28.95
2010-10-01,29.07
2010-11-01,28.67
2010-12-01,28.11
2011-01-01,27.7
2011-02-01,28.04
2011-03-01,28.64
2011-04-01,29.37
2011-05-01,29.56
2011-06-01,29.25
2011-07-01,28.85
2011-08-01,28.66
2011-09-01,28.72
2011-10-01,28.96
2011-11-01,28.82
2011-12-01,28.15
2012-01-01,27.72
2012-02-01,27.86
2012-03-01,28.71
2012-04-01,29.58
2012-05-01,29.51
2012-06-01,29.09
2012-07-01,28.74
2012-08-01,28.57
2012-09-01,28.52
2012-10-01,28.97
2012-11-01,28.75
2012-12-01,28.29
2013-01-01,27.97
2013-02-01,27.98
2013-03-01,28.97
2013-04-01,29.87
2013-05-01,29.73
2013-06-01,29.11
2013-07-01,28.56
2013-08-01,28.37
2013-09-01,28.61
2013-10-01,28.7
2013-11-01,28.85
2013-12-01,28.02
2014-01-01,27.46
2014-02-01,27.68
2014-03-01,28.43
2014-04-01,29.86
2014-05-01,30.13
2014-06-01,29.6
2014-07-01,29.04
2014-08-01,28.88
2014-09-01,28.77
2014-10-01,29.05
2014-11-01,28.65
2014-12-01,28.33
2015-01-01,27.92
2015-02-01,27.98
2015-03-01,28.9
2015-04-01,29.73
2015-05-01,30
2015-06-01,29.78
2015-07-01,29.29
2015-08-01,29.11
2015-09-01,29.12
2015-10-01,29.49
2015-11-01,28.96
2015-12-01,28.86
2016-01-01,28.54
2016-02-01,28.63
2016-03-01,29.42
2016-04-01,30.46
2016-05-01,30.63
2016-06-01,29.57
2016-07-01,29.24
2016-08-01,29
2016-09-01,28.74
2016-10-01,28.74
2016-11-01,28.53
2016-12-01,28.25
2017-01-01,27.76
2017-02-01,27.88
2017-03-01,28.8
2017-04-01,29.61
2017-05-01,30
2017-06-01,29.38
2017-07-01,29.06
2017-08-01,29.02
2017-09-01,29.07
2017-10-01,29.13
2017-11-01,28.87
2017-12-01,28.29
2018-01-01,27.91
2018-02-01,28.03
2018-03-01,29.14
2018-04-01,29.78
2018-05-01,30.19
2018-06-01,29.45
2018-07-01,28.85
2018-08-01,28.5
2018-09-01,28.73
2018-10-01,29.04
2018-11-01,28.76
2018-12-01,28.36
2019-01-01,28.03
2019-02-01,28.18
2019-03-01,29.08
2019-04-01,30.15
2019-05-01,29.94
2019-06-01,29.92
2019-07-01,29.36
2019-08-01,28.92
2019-09-01,28.77
2019-10-01,29.33
2019-11-01,29.02
2019-12-01,28.3
2020-01-01,27.98
2020-02-01,28.07
2020-03-01,28.99
2020-04-01,30.21
2020-05-01,30.19
2020-06-01,29.81
2020-07-01,29.71
2020-08-01,29.49
2020-09-01,29.45
2020-10-01,28.91
2020-11-01,28.97
2020-12-01,28.44
2021-01-01,28.11
2021-02-01,28.06
2021-03-01,29
2021-04-01,29.82
2021-05-01,30.61
2021-06-01,29.8
2021-07-01,29.38
2021-08-01,29.1
2021-09-01,29.09
2021-10-01,29.15
2021-11-01,28.82
2021-12-01,28.54
2022-01-01,28.29
2022-02-01,28.27
2022-03-01,28.93
2022-04-01,30.25
2022-05-01,29.91
2022-06-01,29.51
2022-07-01,29.14
2022-08-01,28.87
2022-09-01,29.04
2022-10-01,28.9
2022-11-01,28.63
2022-12-01,28.02
2023-01-01,27.75
2023-02-01,27.98
2023-03-01,28.7
2023-04-01,30.24
2023-05-01,30.15
2023-06-01,29.61
2023-07-01,29.21
2023-08-01,29.2
2023-09-01,29.05
2023-10-01,29.15
2023-11-01,29.17
2023-12-01,28.61
NA,NA
