date,temperature
1981-09-01,18.04
1981-10-01,17.89
1981-11-01,17.75
1981-12-01,17.88
1982-01-01,18.03
1982-02-01,18.07
1982-03-01,18.11
1982-04-01,18.07
1982-05-01,18.02
1982-06-01,17.91
1982-07-01,17.93
1982-08-01,17.99
1982-09-01,17.99
1982-10-01,17.89
1982-11-01,17.8
1982-12-01,17.93
1983-01-01,18.15
1983-02-01,18.29
1983-03-01,18.27
1983-04-01,18.19
1983-05-01,18.09
1983-06-01,18.05
1983-07-01,18.02
1983-08-01,18.1
1983-09-01,18.05
1983-10-01,17.87
1983-11-01,17.8
1983-12-01,17.86
1984-01-01,18.01
1984-02-01,18.16
1984-03-01,18.15
1984-04-01,18.09
1984-05-01,17.97
1984-06-01,17.9
1984-07-01,17.96
1984-08-01,18.06
1984-09-01,18.05
1984-10-01,17.78
1984-11-01,17.73
1984-12-01,17.76
1985-01-01,17.91
1985-02-01,18.04
1985-03-01,18.05
1985-04-01,17.95
1985-05-01,17.87
1985-06-01,17.8
1985-07-01,17.91
1985-08-01,17.92
1985-09-01,17.9
1985-10-01,17.76
1985-11-01,17.65
1985-12-01,17.73
1986-01-01,17.85
1986-02-01,18.03
1986-03-01,18.07
1986-04-01,18
1986-05-01,17.92
1986-06-01,17.92
1986-07-01,17.94
1986-08-01,17.99
1986-09-01,17.99
1986-10-01,17.87
1986-11-01,17.78
1986-12-01,17.81
1987-01-01,17.99
1987-02-01,18.14
1987-03-01,18.23
1987-04-01,18.14
1987-05-01,18.05
1987-06-01,17.98
1987-07-01,18.12
1987-08-01,18.21
1987-09-01,18.18
1987-10-01,17.97
1987-11-01,17.93
1987-12-01,17.97
1988-01-01,18.17
1988-02-01,18.32
1988-03-01,18.29
1988-04-01,18.2
1988-05-01,18.06
1988-06-01,18.01
1988-07-01,18.03
1988-08-01,18.11
1988-09-01,18.03
1988-10-01,17.86
1988-11-01,17.69
1988-12-01,17.72
1989-01-01,17.94
1989-02-01,18.05
1989-03-01,18.1
1989-04-01,18.06
1989-05-01,17.99
1989-06-01,17.92
1989-07-01,18.05
1989-08-01,18.1
1989-09-01,18.04
1989-10-01,17.84
1989-11-01,17.79
1989-12-01,17.83
1990-01-01,18.01
1990-02-01,18.23
1990-03-01,18.23
1990-04-01,18.21
1990-05-01,18.13
1990-06-01,18.01
1990-07-01,18.11
1990-08-01,18.19
1990-09-01,18.11
1990-10-01,17.98
1990-11-01,17.85
1990-12-01,17.93
1991-01-01,18.05
1991-02-01,18.22
1991-03-01,18.23
1991-04-01,18.24
1991-05-01,18.14
1991-06-01,18.05
1991-07-01,18.15
1991-08-01,18.16
1991-09-01,18.08
1991-10-01,17.89
1991-11-01,17.79
1991-12-01,17.91
1992-01-01,18.06
1992-02-01,18.22
1992-03-01,18.23
1992-04-01,18.17
1992-05-01,18.11
1992-06-01,18
1992-07-01,18
1992-08-01,18.04
1992-09-01,18
1992-10-01,17.78
1992-11-01,17.73
1992-12-01,17.81
1993-01-01,18.06
1993-02-01,18.18
1993-03-01,18.21
1993-04-01,18.12
1993-05-01,18.05
1993-06-01,17.97
1993-07-01,17.99
1993-08-01,18.1
1993-09-01,18.04
1993-10-01,17.89
1993-11-01,17.83
1993-12-01,17.88
1994-01-01,18.02
1994-02-01,18.09
1994-03-01,18.2
1994-04-01,18.11
1994-05-01,18.07
1994-06-01,17.94
1994-07-01,18.04
1994-08-01,18.19
1994-09-01,18.04
1994-10-01,17.93
1994-11-01,17.86
1994-12-01,17.92
1995-01-01,18.09
1995-02-01,18.24
1995-03-01,18.28
1995-04-01,18.2
1995-05-01,18.08
1995-06-01,18.08
1995-07-01,18.2
1995-08-01,18.22
1995-09-01,18.11
1995-10-01,17.95
1995-11-01,17.89
1995-12-01,17.91
1996-01-01,18.01
1996-02-01,18.19
1996-03-01,18.24
1996-04-01,18.16
1996-05-01,18.06
1996-06-01,18.02
1996-07-01,18.04
1996-08-01,18.12
1996-09-01,18.05
1996-10-01,17.89
1996-11-01,17.79
1996-12-01,17.87
1997-01-01,18.02
1997-02-01,18.22
1997-03-01,18.28
1997-04-01,18.17
1997-05-01,18.14
1997-06-01,18.15
1997-07-01,18.24
1997-08-01,18.31
1997-09-01,18.28
1997-10-01,18.14
1997-11-01,18.08
1997-12-01,18.17
1998-01-01,18.28
1998-02-01,18.44
1998-03-01,18.43
1998-04-01,18.4
1998-05-01,18.3
1998-06-01,18.24
1998-07-01,18.34
1998-08-01,18.39
1998-09-01,18.17
1998-10-01,17.98
1998-11-01,17.95
1998-12-01,17.92
1999-01-01,18.04
1999-02-01,18.2
1999-03-01,18.27
1999-04-01,18.14
1999-05-01,18.04
1999-06-01,17.99
1999-07-01,18.06
1999-08-01,18.11
1999-09-01,18.06
1999-10-01,17.88
1999-11-01,17.83
1999-12-01,17.86
2000-01-01,18.01
2000-02-01,18.2
2000-03-01,18.2
2000-04-01,18.16
2000-05-01,18.02
2000-06-01,17.99
2000-07-01,18.07
2000-08-01,18.19
2000-09-01,18.19
2000-10-01,17.98
2000-11-01,17.91
2000-12-01,17.94
2001-01-01,18.13
2001-02-01,18.27
2001-03-01,18.38
2001-04-01,18.3
2001-05-01,18.21
2001-06-01,18.19
2001-07-01,18.27
2001-08-01,18.33
2001-09-01,18.28
2001-10-01,18.07
2001-11-01,18
2001-12-01,18.05
2002-01-01,18.21
2002-02-01,18.31
2002-03-01,18.42
2002-04-01,18.35
2002-05-01,18.27
2002-06-01,18.24
2002-07-01,18.25
2002-08-01,18.31
2002-09-01,18.25
2002-10-01,18.12
2002-11-01,18.01
2002-12-01,18.11
2003-01-01,18.26
2003-02-01,18.41
2003-03-01,18.46
2003-04-01,18.36
2003-05-01,18.25
2003-06-01,18.21
2003-07-01,18.34
2003-08-01,18.43
2003-09-01,18.37
2003-10-01,18.22
2003-11-01,18.08
2003-12-01,18.11
2004-01-01,18.26
2004-02-01,18.41
2004-03-01,18.42
2004-04-01,18.37
2004-05-01,18.22
2004-06-01,18.15
2004-07-01,18.24
2004-08-01,18.38
2004-09-01,18.3
2004-10-01,18.12
2004-11-01,18.04
2004-12-01,18.09
2005-01-01,18.33
2005-02-01,18.47
2005-03-01,18.47
2005-04-01,18.41
2005-05-01,18.35
2005-06-01,18.3
2005-07-01,18.39
2005-08-01,18.49
2005-09-01,18.37
2005-10-01,18.19
2005-11-01,18.05
2005-12-01,18.12
2006-01-01,18.25
2006-02-01,18.41
2006-03-01,18.4
2006-04-01,18.37
2006-05-01,18.31
2006-06-01,18.26
2006-07-01,18.3
2006-08-01,18.41
2006-09-01,18.37
2006-10-01,18.17
2006-11-01,18.12
2006-12-01,18.19
2007-01-01,18.31
2007-02-01,18.47
2007-03-01,18.45
2007-04-01,18.36
2007-05-01,18.24
2007-06-01,18.26
2007-07-01,18.32
2007-08-01,18.37
2007-09-01,18.32
2007-10-01,18.1
2007-11-01,17.91
2007-12-01,17.94
2008-01-01,18.12
2008-02-01,18.28
2008-03-01,18.33
2008-04-01,18.27
2008-05-01,18.23
2008-06-01,18.19
2008-07-01,18.31
2008-08-01,18.42
2008-09-01,18.36
2008-10-01,18.18
2008-11-01,18.02
2008-12-01,18.07
2009-01-01,18.24
2009-02-01,18.33
2009-03-01,18.37
2009-04-01,18.38
2009-05-01,18.32
2009-06-01,18.38
2009-07-01,18.45
2009-08-01,18.51
2009-09-01,18.37
2009-10-01,18.23
2009-11-01,18.14
2009-12-01,18.3
2010-01-01,18.41
2010-02-01,18.56
2010-03-01,18.58
2010-04-01,18.53
2010-05-01,18.4
2010-06-01,18.33
2010-07-01,18.4
2010-08-01,18.44
2010-09-01,18.33
2010-10-01,18.13
2010-11-01,18
2010-12-01,18.05
2011-01-01,18.19
2011-02-01,18.35
2011-03-01,18.4
2011-04-01,18.32
2011-05-01,18.25
2011-06-01,18.23
2011-07-01,18.31
2011-08-01,18.38
2011-09-01,18.28
2011-10-01,18.09
2011-11-01,18.01
2011-12-01,18.01
2012-01-01,18.17
2012-02-01,18.36
2012-03-01,18.36
2012-04-01,18.34
2012-05-01,18.3
2012-06-01,18.23
2012-07-01,18.37
2012-08-01,18.45
2012-09-01,18.41
2012-10-01,18.22
2012-11-01,18.1
2012-12-01,18.16
2013-01-01,18.28
2013-02-01,18.41
2013-03-01,18.42
2013-04-01,18.4
2013-05-01,18.32
2013-06-01,18.21
2013-07-01,18.38
2013-08-01,18.49
2013-09-01,18.41
2013-10-01,18.18
2013-11-01,18.16
2013-12-01,18.17
2014-01-01,18.32
2014-02-01,18.44
2014-03-01,18.53
2014-04-01,18.54
2014-05-01,18.42
2014-06-01,18.42
2014-07-01,18.47
2014-08-01,18.63
2014-09-01,18.53
2014-10-01,18.33
2014-11-01,18.22
2014-12-01,18.26
2015-01-01,18.4
2015-02-01,18.54
2015-03-01,18.57
2015-04-01,18.6
2015-05-01,18.51
2015-06-01,18.47
2015-07-01,18.57
2015-08-01,18.68
2015-09-01,18.67
2015-10-01,18.5
2015-11-01,18.41
2015-12-01,18.46
2016-01-01,18.67
2016-02-01,18.74
2016-03-01,18.79
2016-04-01,18.68
2016-05-01,18.56
2016-06-01,18.55
2016-07-01,18.6
2016-08-01,18.68
2016-09-01,18.6
2016-10-01,18.4
2016-11-01,18.23
2016-12-01,18.32
2017-01-01,18.51
2017-02-01,18.69
2017-03-01,18.72
2017-04-01,18.67
2017-05-01,18.52
2017-06-01,18.47
2017-07-01,18.58
2017-08-01,18.68
2017-09-01,18.54
2017-10-01,18.35
2017-11-01,18.23
2017-12-01,18.22
2018-01-01,18.4
2018-02-01,18.52
2018-03-01,18.61
2018-04-01,18.57
2018-05-01,18.48
2018-06-01,18.38
2018-07-01,18.42
2018-08-01,18.55
2018-09-01,18.52
2018-10-01,18.4
2018-11-01,18.31
2018-12-01,18.36
2019-01-01,18.51
2019-02-01,18.65
2019-03-01,18.72
2019-04-01,18.64
2019-05-01,18.52
2019-06-01,18.51
2019-07-01,18.59
2019-08-01,18.72
2019-09-01,18.58
2019-10-01,18.42
2019-11-01,18.32
2019-12-01,18.39
2020-01-01,18.59
2020-02-01,18.71
2020-03-01,18.77
2020-04-01,18.7
2020-05-01,18.57
2020-06-01,18.5
2020-07-01,18.65
2020-08-01,18.77
2020-09-01,18.64
2020-10-01,18.43
2020-11-01,18.28
2020-12-01,18.27
2021-01-01,18.41
2021-02-01,18.56
2021-03-01,18.63
2021-04-01,18.58
2021-05-01,18.52
2021-06-01,18.49
2021-07-01,18.61
2021-08-01,18.68
2021-09-01,18.62
2021-10-01,18.43
2021-11-01,18.32
2021-12-01,18.29
2022-01-01,18.51
2022-02-01,18.63
2022-03-01,18.67
2022-04-01,18.6
2022-05-01,18.5
2022-06-01,18.51
2022-07-01,18.57
2022-08-01,18.69
2022-09-01,18.61
2022-10-01,18.41
2022-11-01,18.32
2022-12-01,18.4
2023-01-01,18.53
2023-02-01,18.69
2023-03-01,18.81
2023-04-01,18.82
2023-05-01,18.71
2023-06-01,18.71
2023-07-01,18.87
2023-08-01,19.01
2023-09-01,18.92
2023-10-01,18.72
2023-11-01,18.63
2023-12-01,18.67
2024-01-01,18.87
2024-02-01,18.94
2024-03-01,18.96
2024-04-01,18.93
2024-05-01,18.79
2024-06-01,18.76
2024-07-01,18.85
2024-08-01,18.93
2024-09-01,18.86
2024-10-01,18.67
NA,NA
