date,temperature
1981-09-01,29.21
1981-10-01,28.09
1981-11-01,26.27
1981-12-01,24.67
1982-01-01,23.74
1982-02-01,23.75
1982-03-01,24.26
1982-04-01,25.37
1982-05-01,26.27
1982-06-01,28.04
1982-07-01,28.99
1982-08-01,29.22
1982-09-01,28.94
1982-10-01,27.86
1982-11-01,26.18
1982-12-01,25.09
1983-01-01,23.93
1983-02-01,23.26
1983-03-01,23.38
1983-04-01,24
1983-05-01,26.23
1983-06-01,28.18
1983-07-01,29.04
1983-08-01,29.45
1983-09-01,28.83
1983-10-01,27.99
1983-11-01,26.36
1983-12-01,25.22
1984-01-01,23.63
1984-02-01,23.16
1984-03-01,23.17
1984-04-01,24.41
1984-05-01,26.21
1984-06-01,27.32
1984-07-01,28.58
1984-08-01,28.58
1984-09-01,28.26
1984-10-01,27.35
1984-11-01,25.94
1984-12-01,24.47
1985-01-01,23.42
1985-02-01,22.74
1985-03-01,23.94
1985-04-01,24.76
1985-05-01,26.88
1985-06-01,28.06
1985-07-01,28.48
1985-08-01,28.98
1985-09-01,28.6
1985-10-01,27.92
1985-11-01,26.13
1985-12-01,24.76
1986-01-01,23.78
1986-02-01,23.38
1986-03-01,23.43
1986-04-01,24.4
1986-05-01,26.27
1986-06-01,28.14
1986-07-01,28.7
1986-08-01,28.96
1986-09-01,28.5
1986-10-01,27.78
1986-11-01,26.49
1986-12-01,25.17
1987-01-01,23.67
1987-02-01,23.08
1987-03-01,23.3
1987-04-01,23.99
1987-05-01,26.43
1987-06-01,27.95
1987-07-01,29
1987-08-01,29.32
1987-09-01,29.23
1987-10-01,27.38
1987-11-01,25.58
1987-12-01,24.79
1988-01-01,23.47
1988-02-01,22.8
1988-03-01,23.14
1988-04-01,24.45
1988-05-01,26.02
1988-06-01,27.64
1988-07-01,28.82
1988-08-01,29.15
1988-09-01,28.41
1988-10-01,27.22
1988-11-01,26.37
1988-12-01,24.61
1989-01-01,24.36
1989-02-01,23.73
1989-03-01,23.58
1989-04-01,24.88
1989-05-01,26.63
1989-06-01,27.78
1989-07-01,28.72
1989-08-01,29.22
1989-09-01,29.25
1989-10-01,27.7
1989-11-01,26.22
1989-12-01,24.36
1990-01-01,23.53
1990-02-01,23.8
1990-03-01,23.86
1990-04-01,24.75
1990-05-01,26.69
1990-06-01,28.48
1990-07-01,28.68
1990-08-01,29.31
1990-09-01,29.36
1990-10-01,28.17
1990-11-01,25.98
1990-12-01,24.69
1991-01-01,23.87
1991-02-01,23.44
1991-03-01,23.79
1991-04-01,25.44
1991-05-01,27
1991-06-01,28.35
1991-07-01,28.77
1991-08-01,29.16
1991-09-01,28.85
1991-10-01,27.69
1991-11-01,25.79
1991-12-01,24.69
1992-01-01,23.51
1992-02-01,23.17
1992-03-01,23.68
1992-04-01,24.67
1992-05-01,25.8
1992-06-01,28.2
1992-07-01,28.73
1992-08-01,28.97
1992-09-01,28.87
1992-10-01,27.52
1992-11-01,25.96
1992-12-01,24.62
1993-01-01,24.4
1993-02-01,23.46
1993-03-01,23.41
1993-04-01,24.24
1993-05-01,25.98
1993-06-01,27.84
1993-07-01,28.8
1993-08-01,29.35
1993-09-01,29
1993-10-01,27.88
1993-11-01,25.99
1993-12-01,24.6
1994-01-01,23.48
1994-02-01,23.48
1994-03-01,23.7
1994-04-01,25.08
1994-05-01,27.21
1994-06-01,28.21
1994-07-01,28.8
1994-08-01,28.75
1994-09-01,28.77
1994-10-01,27.64
1994-11-01,26.61
1994-12-01,25.22
1995-01-01,23.73
1995-02-01,23.47
1995-03-01,24.02
1995-04-01,25.19
1995-05-01,27.18
1995-06-01,28.16
1995-07-01,29
1995-08-01,29.44
1995-09-01,29.63
1995-10-01,27.66
1995-11-01,26.22
1995-12-01,24.85
1996-01-01,23.22
1996-02-01,23.17
1996-03-01,23.09
1996-04-01,24.11
1996-05-01,26.39
1996-06-01,28.33
1996-07-01,28.94
1996-08-01,28.94
1996-09-01,29.38
1996-10-01,27.56
1996-11-01,26.01
1996-12-01,24.43
1997-01-01,23.82
1997-02-01,23.61
1997-03-01,24.53
1997-04-01,24.89
1997-05-01,26.43
1997-06-01,27.99
1997-07-01,29.38
1997-08-01,29.59
1997-09-01,29.14
1997-10-01,27.72
1997-11-01,25.84
1997-12-01,24.71
1998-01-01,23.77
1998-02-01,23.27
1998-03-01,23.05
1998-04-01,24.42
1998-05-01,26.42
1998-06-01,28.59
1998-07-01,29.32
1998-08-01,30.08
1998-09-01,29.12
1998-10-01,28.24
1998-11-01,26.26
1998-12-01,25.28
1999-01-01,24.09
1999-02-01,24.03
1999-03-01,23.9
1999-04-01,25.33
1999-05-01,26.79
1999-06-01,28.48
1999-07-01,28.88
1999-08-01,29.68
1999-09-01,29.24
1999-10-01,27.8
1999-11-01,26.07
1999-12-01,24.57
2000-01-01,23.67
2000-02-01,23.37
2000-03-01,24.35
2000-04-01,25.17
2000-05-01,26.89
2000-06-01,28.08
2000-07-01,29.23
2000-08-01,29.26
2000-09-01,29.14
2000-10-01,27.67
2000-11-01,26.25
2000-12-01,24.75
2001-01-01,23.43
2001-02-01,23.57
2001-03-01,23.91
2001-04-01,25.1
2001-05-01,26.37
2001-06-01,28.1
2001-07-01,29.15
2001-08-01,29.31
2001-09-01,29.17
2001-10-01,27.63
2001-11-01,26.1
2001-12-01,25.08
2002-01-01,23.86
2002-02-01,23.77
2002-03-01,23.99
2002-04-01,25.76
2002-05-01,27.05
2002-06-01,28.29
2002-07-01,29.02
2002-08-01,29.66
2002-09-01,29.05
2002-10-01,28.19
2002-11-01,26.6
2002-12-01,24.63
2003-01-01,23.12
2003-02-01,23.05
2003-03-01,24.42
2003-04-01,24.9
2003-05-01,27.14
2003-06-01,28.5
2003-07-01,28.83
2003-08-01,29.42
2003-09-01,29.2
2003-10-01,28.2
2003-11-01,26.93
2003-12-01,24.76
2004-01-01,23.47
2004-02-01,23.2
2004-03-01,23.86
2004-04-01,24.79
2004-05-01,26.26
2004-06-01,28.5
2004-07-01,29.3
2004-08-01,29.63
2004-09-01,29.18
2004-10-01,28.3
2004-11-01,26.87
2004-12-01,25.16
2005-01-01,24
2005-02-01,23.44
2005-03-01,23.9
2005-04-01,24.94
2005-05-01,26.68
2005-06-01,28.41
2005-07-01,29.22
2005-08-01,29.88
2005-09-01,29.25
2005-10-01,28.12
2005-11-01,26.18
2005-12-01,24.72
2006-01-01,23.99
2006-02-01,23.5
2006-03-01,24.1
2006-04-01,25.37
2006-05-01,26.79
2006-06-01,28.28
2006-07-01,29.26
2006-08-01,29.64
2006-09-01,29.74
2006-10-01,28.4
2006-11-01,26.4
2006-12-01,24.78
2007-01-01,24.12
2007-02-01,23.43
2007-03-01,23.93
2007-04-01,24.95
2007-05-01,26.65
2007-06-01,28.25
2007-07-01,29.15
2007-08-01,29.62
2007-09-01,29.4
2007-10-01,28.26
2007-11-01,26.21
2007-12-01,25.25
2008-01-01,24.04
2008-02-01,23.98
2008-03-01,23.9
2008-04-01,25.25
2008-05-01,26.75
2008-06-01,28.12
2008-07-01,28.8
2008-08-01,29.24
2008-09-01,28.83
2008-10-01,27.78
2008-11-01,25.72
2008-12-01,24.26
2009-01-01,23.68
2009-02-01,23.17
2009-03-01,23.74
2009-04-01,24.62
2009-05-01,26.74
2009-06-01,28.44
2009-07-01,29.48
2009-08-01,29.78
