date,temperature
1981-09-01,27.87
1981-10-01,28.26
1981-11-01,28.15
1981-12-01,28.22
1982-01-01,28.12
1982-02-01,27.92
1982-03-01,28.35
1982-04-01,28.93
1982-05-01,28.93
1982-06-01,28.56
1982-07-01,28.07
1982-08-01,27.63
1982-09-01,27.56
1982-10-01,27.62
1982-11-01,28.01
1982-12-01,28.52
1983-01-01,28.58
1983-02-01,29.17
1983-03-01,29.61
1983-04-01,29.74
1983-05-01,29.41
1983-06-01,29.16
1983-07-01,28.32
1983-08-01,27.89
1983-09-01,27.84
1983-10-01,27.8
1983-11-01,28.03
1983-12-01,28.32
1984-01-01,28.16
1984-02-01,27.84
1984-03-01,28.42
1984-04-01,28.7
1984-05-01,28.84
1984-06-01,28.47
1984-07-01,28.23
1984-08-01,27.69
1984-09-01,27.73
1984-10-01,27.76
1984-11-01,28.18
1984-12-01,28.13
1985-01-01,28.27
1985-02-01,28.34
1985-03-01,28.63
1985-04-01,29
1985-05-01,28.6
1985-06-01,28.37
1985-07-01,28.45
1985-08-01,27.65
1985-09-01,27.53
1985-10-01,27.71
1985-11-01,27.63
1985-12-01,27.92
1986-01-01,27.81
1986-02-01,28.12
1986-03-01,28.17
1986-04-01,28.71
1986-05-01,28.85
1986-06-01,28.72
1986-07-01,28.41
1986-08-01,27.62
1986-09-01,27.35
1986-10-01,27.84
1986-11-01,28.05
1986-12-01,28.32
1987-01-01,28.29
1987-02-01,28.58
1987-03-01,29.25
1987-04-01,29.49
1987-05-01,29.58
1987-06-01,28.96
1987-07-01,28.71
1987-08-01,28.17
1987-09-01,27.85
1987-10-01,27.72
1987-11-01,28.45
1987-12-01,28.53
1988-01-01,28.65
1988-02-01,28.84
1988-03-01,29.24
1988-04-01,29.12
1988-05-01,29.36
1988-06-01,29.03
1988-07-01,28.31
1988-08-01,28.18
1988-09-01,28.12
1988-10-01,28.35
1988-11-01,28.33
1988-12-01,28.24
1989-01-01,28.55
1989-02-01,27.91
1989-03-01,28.59
1989-04-01,28.7
1989-05-01,28.86
1989-06-01,28.9
1989-07-01,28.33
1989-08-01,28.29
1989-09-01,28.18
1989-10-01,28.39
1989-11-01,28.46
1989-12-01,28.45
1990-01-01,28.15
1990-02-01,28.9
1990-03-01,28.93
1990-04-01,29.37
1990-05-01,29.44
1990-06-01,28.82
1990-07-01,28.34
1990-08-01,28.1
1990-09-01,28.17
1990-10-01,28.49
1990-11-01,28.28
1990-12-01,28.6
1991-01-01,28.51
1991-02-01,28.63
1991-03-01,29.17
1991-04-01,29.01
1991-05-01,29.02
1991-06-01,28.62
1991-07-01,28.07
1991-08-01,27.95
1991-09-01,27.6
1991-10-01,27.99
1991-11-01,28.08
1991-12-01,28.05
1992-01-01,28.76
1992-02-01,28.62
1992-03-01,29.18
1992-04-01,29.49
1992-05-01,29.77
1992-06-01,29.47
1992-07-01,28.98
1992-08-01,28.3
1992-09-01,28.09
1992-10-01,28.24
1992-11-01,28.25
1992-12-01,28.33
1993-01-01,28.2
1993-02-01,28.52
1993-03-01,28.76
1993-04-01,28.88
1993-05-01,29
1993-06-01,28.95
1993-07-01,28.18
1993-08-01,27.9
1993-09-01,27.97
1993-10-01,27.9
1993-11-01,28.52
1993-12-01,28.57
1994-01-01,28.33
1994-02-01,28.42
1994-03-01,28.37
1994-04-01,28.69
1994-05-01,28.77
1994-06-01,28.26
1994-07-01,27.42
1994-08-01,26.73
1994-09-01,26.61
1994-10-01,26.58
1994-11-01,27.78
1994-12-01,28.19
1995-01-01,28.28
1995-02-01,28.04
1995-03-01,28.53
1995-04-01,28.95
1995-05-01,29.1
1995-06-01,28.96
1995-07-01,28.87
1995-08-01,28.24
1995-09-01,27.85
1995-10-01,28.17
1995-11-01,28.67
1995-12-01,28.01
1996-01-01,28.17
1996-02-01,28.22
1996-03-01,29
1996-04-01,29.31
1996-05-01,29.34
1996-06-01,28.97
1996-07-01,28.52
1996-08-01,28.37
1996-09-01,28.11
1996-10-01,28.49
1996-11-01,28.65
1996-12-01,28.41
1997-01-01,28.16
1997-02-01,27.89
1997-03-01,28.67
1997-04-01,29.26
1997-05-01,29.24
1997-06-01,29.12
1997-07-01,27.75
1997-08-01,27.71
1997-09-01,27.32
1997-10-01,26.86
1997-11-01,27.32
1997-12-01,28.33
1998-01-01,28.88
1998-02-01,29.21
1998-03-01,29.97
1998-04-01,30
1998-05-01,29.85
1998-06-01,29.39
1998-07-01,29.19
1998-08-01,28.97
1998-09-01,28.55
1998-10-01,28.91
1998-11-01,28.85
1998-12-01,28.61
1999-01-01,28.51
1999-02-01,28.78
1999-03-01,28.88
1999-04-01,29.12
1999-05-01,28.95
1999-06-01,28.9
1999-07-01,28.43
1999-08-01,28.01
1999-09-01,27.78
1999-10-01,28.01
1999-11-01,28.43
1999-12-01,28.49
2000-01-01,28.39
2000-02-01,28.02
2000-03-01,28.12
2000-04-01,28.73
2000-05-01,28.83
2000-06-01,28.8
2000-07-01,28.32
2000-08-01,28.17
2000-09-01,27.92
2000-10-01,28.25
2000-11-01,28.3
2000-12-01,28.18
2001-01-01,28.08
2001-02-01,28.08
2001-03-01,28.59
2001-04-01,29.07
2001-05-01,29.42
2001-06-01,28.97
2001-07-01,28.99
2001-08-01,28.54
2001-09-01,28.27
2001-10-01,28.26
2001-11-01,28.22
2001-12-01,28.63
2002-01-01,28.57
2002-02-01,28.5
2002-03-01,29.27
2002-04-01,29.54
2002-05-01,29.53
2002-06-01,29.18
2002-07-01,28.71
2002-08-01,28.24
2002-09-01,27.82
2002-10-01,27.65
2002-11-01,27.94
2002-12-01,28.78
2003-01-01,29.01
2003-02-01,28.79
2003-03-01,28.9
2003-04-01,29.54
2003-05-01,29.34
2003-06-01,28.94
2003-07-01,28.15
2003-08-01,27.51
2003-09-01,28.14
2003-10-01,28.12
2003-11-01,28.41
2003-12-01,28.09
2004-01-01,28.64
2004-02-01,28.47
2004-03-01,28.67
2004-04-01,29.71
2004-05-01,29.13
2004-06-01,28.86
2004-07-01,28.31
2004-08-01,28.08
2004-09-01,28.08
2004-10-01,28
2004-11-01,28.49
2004-12-01,28.53
2005-01-01,28.69
2005-02-01,29.57
2005-03-01,29.83
2005-04-01,29.42
2005-05-01,29.65
2005-06-01,29.22
2005-07-01,28.95
2005-08-01,28.61
2005-09-01,28.41
2005-10-01,28.62
2005-11-01,28.68
2005-12-01,28.58
2006-01-01,28.31
2006-02-01,28.96
2006-03-01,29.07
2006-04-01,29.07
2006-05-01,29.53
2006-06-01,29.43
2006-07-01,28.5
2006-08-01,27.93
2006-09-01,27.19
2006-10-01,27.13
2006-11-01,27.82
2006-12-01,28.38
2007-01-01,28.87
2007-02-01,29.42
2007-03-01,29.02
2007-04-01,29.38
2007-05-01,29.42
2007-06-01,29.29
2007-07-01,28.5
2007-08-01,28.2
2007-09-01,27.85
2007-10-01,28.29
2007-11-01,28.64
2007-12-01,28.75
2008-01-01,28.77
2008-02-01,28.64
2008-03-01,28.65
2008-04-01,29.22
2008-05-01,28.75
2008-06-01,28.52
2008-07-01,28.02
2008-08-01,27.79
2008-09-01,28.38
2008-10-01,28.09
2008-11-01,28.63
2008-12-01,28.6
2009-01-01,28.63
2009-02-01,28.56
2009-03-01,28.86
2009-04-01,29.25
2009-05-01,29.58
2009-06-01,29.63
2009-07-01,29.29
2009-08-01,28.9
2009-09-01,28.34
2009-10-01,28.6
2009-11-01,28.88
2009-12-01,28.72
2010-01-01,28.8
2010-02-01,29.13
2010-03-01,29.38
2010-04-01,29.46
2010-05-01,30.01
2010-06-01,29.52
2010-07-01,29.11
2010-08-01,28.51
2010-09-01,28.57
2010-10-01,29.04
2010-11-01,28.84
2010-12-01,28.61
2011-01-01,28.24
2011-02-01,28.46
2011-03-01,28.9
2011-04-01,29.19
2011-05-01,29.26
2011-06-01,29.17
2011-07-01,28.86
2011-08-01,28.2
2011-09-01,27.65
