date,temperature
1981-09-01,27.11
1981-10-01,27.89
1981-11-01,27.81
1981-12-01,27.61
1982-01-01,27.43
1982-02-01,27.96
1982-03-01,28.69
1982-04-01,29.74
1982-05-01,29.71
1982-06-01,28.39
1982-07-01,27.47
1982-08-01,27.15
1982-09-01,27.48
1982-10-01,28.19
1982-11-01,28.36
1982-12-01,28.15
1983-01-01,27.77
1983-02-01,28.24
1983-03-01,28.69
1983-04-01,29.53
1983-05-01,29.4
1983-06-01,28.97
1983-07-01,28.06
1983-08-01,27.55
1983-09-01,27.51
1983-10-01,27.98
1983-11-01,28.12
1983-12-01,27.83
1984-01-01,27.37
1984-02-01,27.16
1984-03-01,28.3
1984-04-01,29.34
1984-05-01,28.44
1984-06-01,27.25
1984-07-01,26.74
1984-08-01,26.49
1984-09-01,26.95
1984-10-01,27.54
1984-11-01,27.79
1984-12-01,27.59
1985-01-01,27.45
1985-02-01,27.46
1985-03-01,28.4
1985-04-01,29.3
1985-05-01,28.74
1985-06-01,27.07
1985-07-01,26.81
1985-08-01,26.53
1985-09-01,26.98
1985-10-01,27.23
1985-11-01,27.75
1985-12-01,27.44
1986-01-01,27.24
1986-02-01,27.86
1986-03-01,28.5
1986-04-01,29.23
1986-05-01,29.1
1986-06-01,27.71
1986-07-01,26.71
1986-08-01,26.51
1986-09-01,27.05
1986-10-01,27.77
1986-11-01,28.34
1986-12-01,28
1987-01-01,27.58
1987-02-01,28.05
1987-03-01,28.66
1987-04-01,29.43
1987-05-01,29.69
1987-06-01,28.04
1987-07-01,27.32
1987-08-01,27.29
1987-09-01,27.92
1987-10-01,28.14
1987-11-01,28.23
1987-12-01,28
1988-01-01,28.11
1988-02-01,28.45
1988-03-01,29.08
1988-04-01,29.68
1988-05-01,28.97
1988-06-01,27.8
1988-07-01,27.14
1988-08-01,27.15
1988-09-01,27.48
1988-10-01,27.9
1988-11-01,27.97
1988-12-01,28.13
1989-01-01,27.42
1989-02-01,27.77
1989-03-01,28.37
1989-04-01,28.92
1989-05-01,28.82
1989-06-01,27.42
1989-07-01,26.99
1989-08-01,26.61
1989-09-01,27.25
1989-10-01,27.68
1989-11-01,27.91
1989-12-01,28.07
1990-01-01,27.86
1990-02-01,28.27
1990-03-01,28.8
1990-04-01,29.47
1990-05-01,29.03
1990-06-01,27.57
1990-07-01,27.14
1990-08-01,27
1990-09-01,27.34
1990-10-01,27.58
1990-11-01,28.13
1990-12-01,28.08
1991-01-01,27.95
1991-02-01,28.24
1991-03-01,28.83
1991-04-01,30.09
1991-05-01,29.77
1991-06-01,27.99
1991-07-01,26.98
1991-08-01,26.77
1991-09-01,27.48
1991-10-01,27.99
1991-11-01,28.14
1991-12-01,27.94
1992-01-01,27.69
1992-02-01,27.75
1992-03-01,28.42
1992-04-01,29.19
1992-05-01,29.36
1992-06-01,28.03
1992-07-01,27.33
1992-08-01,26.55
1992-09-01,26.9
1992-10-01,27.67
1992-11-01,28.1
1992-12-01,27.79
1993-01-01,27.45
1993-02-01,27.89
1993-03-01,28.4
1993-04-01,28.95
1993-05-01,29.45
1993-06-01,28.12
1993-07-01,27.24
1993-08-01,26.83
1993-09-01,27.06
1993-10-01,27.62
1993-11-01,28.13
1993-12-01,27.82
1994-01-01,27.91
1994-02-01,27.72
1994-03-01,28.52
1994-04-01,29.48
1994-05-01,29.42
1994-06-01,27.77
1994-07-01,27.05
1994-08-01,26.89
1994-09-01,27.09
1994-10-01,28.16
1994-11-01,27.84
1994-12-01,27.63
1995-01-01,27.46
1995-02-01,28.08
1995-03-01,28.63
1995-04-01,29.23
1995-05-01,29.31
1995-06-01,28.1
1995-07-01,27.18
1995-08-01,26.94
1995-09-01,27.26
1995-10-01,27.91
1995-11-01,27.97
1995-12-01,28.06
1996-01-01,27.85
1996-02-01,28.12
1996-03-01,28.74
1996-04-01,29.17
1996-05-01,29
1996-06-01,27.77
1996-07-01,26.76
1996-08-01,26.43
1996-09-01,27.06
1996-10-01,27.18
1996-11-01,27.63
1996-12-01,27.72
1997-01-01,27.46
1997-02-01,27.56
1997-03-01,28.55
1997-04-01,29.41
1997-05-01,29.08
1997-06-01,28.23
1997-07-01,27.46
1997-08-01,27.16
1997-09-01,27.57
1997-10-01,28.25
1997-11-01,28.8
1997-12-01,28.52
1998-01-01,28.7
1998-02-01,28.98
1998-03-01,29.49
1998-04-01,30.06
1998-05-01,29.89
1998-06-01,28.66
1998-07-01,27.35
1998-08-01,27.05
1998-09-01,27.38
1998-10-01,27.9
1998-11-01,27.86
1998-12-01,27.88
1999-01-01,27.36
1999-02-01,28.07
1999-03-01,28.82
1999-04-01,29.39
1999-05-01,28.58
1999-06-01,27.79
1999-07-01,27.24
1999-08-01,26.89
1999-09-01,27.44
1999-10-01,27.42
1999-11-01,28
1999-12-01,28.05
2000-01-01,27.88
2000-02-01,27.91
2000-03-01,28.68
2000-04-01,29.56
2000-05-01,29.18
2000-06-01,27.74
2000-07-01,27.45
2000-08-01,27.32
2000-09-01,27.58
2000-10-01,27.9
2000-11-01,28.36
2000-12-01,27.98
2001-01-01,27.69
2001-02-01,27.97
2001-03-01,29.11
2001-04-01,29.57
2001-05-01,29.52
2001-06-01,28.14
2001-07-01,27.11
2001-08-01,27.07
2001-09-01,27.48
2001-10-01,27.9
2001-11-01,28.2
2001-12-01,28.39
2002-01-01,27.91
2002-02-01,28.02
2002-03-01,28.98
2002-04-01,29.44
2002-05-01,28.93
2002-06-01,28.09
2002-07-01,27.04
2002-08-01,27.01
2002-09-01,27.86
2002-10-01,28.05
