date,temperature
1981-09-01,28.27
1981-10-01,28.38
1981-11-01,28.24
1981-12-01,28.12
1982-01-01,27.96
1982-02-01,27.93
1982-03-01,28.15
1982-04-01,28.59
1982-05-01,29.16
1982-06-01,29.45
1982-07-01,28.75
1982-08-01,28.69
1982-09-01,28.94
1982-10-01,29.12
1982-11-01,28.83
1982-12-01,28.8
1983-01-01,28.64
1983-02-01,28.54
1983-03-01,28.62
1983-04-01,28.5
1983-05-01,28.97
1983-06-01,28.79
1983-07-01,28.46
1983-08-01,28.17
1983-09-01,28.01
1983-10-01,27.59
1983-11-01,27.59
1983-12-01,27.39
1984-01-01,27.33
1984-02-01,27.17
1984-03-01,27.23
1984-04-01,27.48
1984-05-01,27.89
1984-06-01,28.01
1984-07-01,28.33
1984-08-01,28.02
1984-09-01,28.18
1984-10-01,27.96
1984-11-01,27.86
1984-12-01,27.39
1985-01-01,27.35
1985-02-01,27.48
1985-03-01,27.16
1985-04-01,27.36
1985-05-01,27.64
1985-06-01,27.83
1985-07-01,28
1985-08-01,28.06
1985-09-01,28.02
1985-10-01,28.06
1985-11-01,28.26
1985-12-01,28.07
1986-01-01,27.65
1986-02-01,27.67
1986-03-01,27.88
1986-04-01,27.76
1986-05-01,28.32
1986-06-01,28.6
1986-07-01,28.49
1986-08-01,28.68
1986-09-01,28.84
1986-10-01,28.91
1986-11-01,28.97
1986-12-01,28.64
1987-01-01,28.48
1987-02-01,28.42
1987-03-01,28.71
1987-04-01,28.78
1987-05-01,28.86
1987-06-01,29.21
1987-07-01,29.1
1987-08-01,29.05
1987-09-01,29.01
1987-10-01,29.32
1987-11-01,29.28
1987-12-01,28.94
1988-01-01,28.71
1988-02-01,28.36
1988-03-01,28.1
1988-04-01,27.84
1988-05-01,28.02
1988-06-01,27.82
1988-07-01,27.72
1988-08-01,27.64
1988-09-01,27.87
1988-10-01,26.84
1988-11-01,26.73
1988-12-01,26.59
1989-01-01,26.28
1989-02-01,26.54
1989-03-01,26.87
1989-04-01,27.34
1989-05-01,28.06
1989-06-01,27.76
1989-07-01,27.94
1989-08-01,27.75
1989-09-01,28.1
1989-10-01,28.09
1989-11-01,27.85
1989-12-01,28.29
1990-01-01,28.18
1990-02-01,28.27
1990-03-01,28.35
1990-04-01,28.66
1990-05-01,28.63
1990-06-01,28.63
1990-07-01,28.68
1990-08-01,28.84
1990-09-01,28.75
1990-10-01,28.95
1990-11-01,28.79
1990-12-01,28.83
1991-01-01,28.62
1991-02-01,28.38
1991-03-01,28.34
1991-04-01,28.71
1991-05-01,29.18
1991-06-01,29.04
1991-07-01,28.96
1991-08-01,29.08
1991-09-01,28.85
1991-10-01,29.32
1991-11-01,29.11
1991-12-01,29.23
1992-01-01,28.83
1992-02-01,28.78
1992-03-01,28.84
1992-04-01,29.04
1992-05-01,29.14
1992-06-01,29.02
1992-07-01,29.13
1992-08-01,28.63
1992-09-01,28.63
1992-10-01,28.4
1992-11-01,28.31
1992-12-01,28.45
1993-01-01,28.29
1993-02-01,28.08
1993-03-01,28.28
1993-04-01,28.5
1993-05-01,28.79
1993-06-01,28.77
1993-07-01,28.81
1993-08-01,28.66
1993-09-01,28.82
1993-10-01,28.65
1993-11-01,28.73
1993-12-01,28.71
1994-01-01,28.27
1994-02-01,27.83
1994-03-01,28.23
1994-04-01,28.35
1994-05-01,28.97
1994-06-01,29.03
1994-07-01,29.26
1994-08-01,29.32
1994-09-01,29.05
1994-10-01,29.2
1994-11-01,29.26
1994-12-01,29.17
1995-01-01,28.77
1995-02-01,28.81
1995-03-01,28.8
1995-04-01,28.86
1995-05-01,29.04
1995-06-01,28.88
1995-07-01,28.68
1995-08-01,28.44
1995-09-01,28.3
1995-10-01,28.05
1995-11-01,27.98
1995-12-01,27.91
1996-01-01,27.69
1996-02-01,27.38
1996-03-01,27.54
1996-04-01,27.95
1996-05-01,28.39
1996-06-01,28.44
1996-07-01,28.36
1996-08-01,28.41
1996-09-01,28.32
1996-10-01,28.29
1996-11-01,28.19
1996-12-01,28.27
1997-01-01,28.09
1997-02-01,28.18
1997-03-01,28.33
1997-04-01,29
1997-05-01,29.23
1997-06-01,29.06
1997-07-01,29.2
1997-08-01,29.04
1997-09-01,29.26
1997-10-01,28.98
1997-11-01,29.28
1997-12-01,28.88
1998-01-01,28.68
1998-02-01,28.63
1998-03-01,28.5
1998-04-01,28.38
1998-05-01,28.55
1998-06-01,28.32
1998-07-01,27.96
1998-08-01,27.73
1998-09-01,27.85
1998-10-01,27.15
1998-11-01,27.14
1998-12-01,26.89
1999-01-01,26.44
1999-02-01,26.51
1999-03-01,26.8
1999-04-01,27.14
1999-05-01,27.76
1999-06-01,27.93
1999-07-01,27.66
1999-08-01,27.71
1999-09-01,27.72
1999-10-01,27.78
1999-11-01,27.48
1999-12-01,27.15
2000-01-01,26.95
2000-02-01,26.6
2000-03-01,26.63
2000-04-01,27.22
2000-05-01,27.61
2000-06-01,28.29
2000-07-01,28.2
2000-08-01,28.12
2000-09-01,28.32
2000-10-01,27.96
2000-11-01,27.93
2000-12-01,27.21
2001-01-01,27.23
2001-02-01,27.02
2001-03-01,27.43
2001-04-01,27.87
2001-05-01,28.36
2001-06-01,28.57
2001-07-01,28.94
2001-08-01,28.75
2001-09-01,29.06
2001-10-01,28.85
2001-11-01,28.77
2001-12-01,28.34
2002-01-01,28.6
2002-02-01,28.41
2002-03-01,28.26
2002-04-01,28.87
2002-05-01,29.3
2002-06-01,29.35
2002-07-01,29.26
2002-08-01,29.25
2002-09-01,29.25
2002-10-01,29.27
2002-11-01,29.53
2002-12-01,29.3
2003-01-01,28.86
2003-02-01,28.71
2003-03-01,28.82
2003-04-01,28.64
2003-05-01,28.56
2003-06-01,28.85
2003-07-01,28.92
2003-08-01,28.81
2003-09-01,28.8
2003-10-01,29.11
2003-11-01,29.07
2003-12-01,28.73
2004-01-01,28.52
2004-02-01,28.34
2004-03-01,28.26
2004-04-01,28.56
2004-05-01,28.95
2004-06-01,28.91
2004-07-01,29.14
2004-08-01,29.1
2004-09-01,29.32
2004-10-01,29.34
2004-11-01,29.3
2004-12-01,29.12
2005-01-01,29.09
2005-02-01,28.69
2005-03-01,28.73
2005-04-01,28.78
2005-05-01,28.98
2005-06-01,29.07
2005-07-01,28.91
2005-08-01,28.69
2005-09-01,28.61
2005-10-01,28.7
2005-11-01,28.5
2005-12-01,28.21
2006-01-01,27.59
2006-02-01,27.3
2006-03-01,27.69
2006-04-01,28.13
2006-05-01,28.62
2006-06-01,29
2006-07-01,28.94
2006-08-01,29.12
2006-09-01,29.34
2006-10-01,29.32
2006-11-01,29.52
2006-12-01,29.36
2007-01-01,28.9
2007-02-01,28.59
2007-03-01,28.6
2007-04-01,28.63
2007-05-01,28.63
2007-06-01,28.72
2007-07-01,28.53
2007-08-01,28.5
2007-09-01,28.11
2007-10-01,27.99
2007-11-01,27.49
2007-12-01,27.58
2008-01-01,26.69
2008-02-01,26.61
2008-03-01,27.05
2008-04-01,27.51
2008-05-01,27.85
2008-06-01,27.97
2008-07-01,28.09
2008-08-01,27.98
2008-09-01,28.04
2008-10-01,28.21
2008-11-01,28.12
2008-12-01,27.62
2009-01-01,27.3
2009-02-01,27.34
2009-03-01,27.63
2009-04-01,28.26
2009-05-01,28.8
2009-06-01,28.95
2009-07-01,29.06
2009-08-01,29.16
2009-09-01,29.02
2009-10-01,29.55
2009-11-01,29.85
2009-12-01,29.63
2010-01-01,29.39
2010-02-01,29.03
2010-03-01,29.11
2010-04-01,29.21
2010-05-01,28.97
2010-06-01,28.54
2010-07-01,28.07
2010-08-01,27.48
2010-09-01,27.12
2010-10-01,27.26
2010-11-01,27.17
2010-12-01,27.25
2011-01-01,26.98
2011-02-01,26.96
2011-03-01,27.68
2011-04-01,27.73
2011-05-01,28.34
2011-06-01,28.34
2011-07-01,28.38
2011-08-01,28.46
2011-09-01,28.08
2011-10-01,27.94
2011-11-01,27.8
2011-12-01,27.37
2012-01-01,27.22
2012-02-01,27.42
2012-03-01,27.49
2012-04-01,27.95
2012-05-01,28.34
2012-06-01,28.49
2012-07-01,28.54
2012-08-01,28.78
2012-09-01,28.78
2012-10-01,29
2012-11-01,29.01
2012-12-01,28.41
2013-01-01,28.09
2013-02-01,28.15
2013-03-01,27.68
2013-04-01,28.32
2013-05-01,28.54
2013-06-01,28.54
2013-07-01,28.59
2013-08-01,28.46
2013-09-01,28.69
2013-10-01,28.76
2013-11-01,28.77
2013-12-01,28.07
2014-01-01,27.84
2014-02-01,27.87
2014-03-01,28.23
2014-04-01,28.82
2014-05-01,29.28
2014-06-01,29.05
2014-07-01,28.79
2014-08-01,28.96
2014-09-01,29.19
2014-10-01,29.13
2014-11-01,29.38
2014-12-01,29.18
2015-01-01,28.91
2015-02-01,29.05
2015-03-01,29.17
2015-04-01,29.63
2015-05-01,29.69
2015-06-01,29.77
2015-07-01,29.71
2015-08-01,29.44
2015-09-01,29.48
2015-10-01,29.65
2015-11-01,30.24
2015-12-01,29.86
2016-01-01,29.5
2016-02-01,29.48
2016-03-01,29.43
2016-04-01,29.24
2016-05-01,29.33
2016-06-01,29.23
2016-07-01,28.91
2016-08-01,28.64
2016-09-01,28.44
2016-10-01,28.2
2016-11-01,28.18
2016-12-01,28.32
2017-01-01,28.08
2017-02-01,27.93
2017-03-01,28.09
2017-04-01,28.57
2017-05-01,28.95
2017-06-01,29.27
2017-07-01,29
2017-08-01,28.74
2017-09-01,28.54
2017-10-01,28.49
2017-11-01,28.25
2017-12-01,27.99
2018-01-01,27.96
2018-02-01,27.77
2018-03-01,27.98
2018-04-01,28.51
2018-05-01,28.89
2018-06-01,29.07
2018-07-01,29
2018-08-01,29.16
2018-09-01,29.11
2018-10-01,29.55
2018-11-01,29.45
2018-12-01,29.42
2019-01-01,29.05
2019-02-01,28.94
2019-03-01,29.09
2019-04-01,29.12
2019-05-01,29.42
2019-06-01,29.55
2019-07-01,29.52
2019-08-01,29.31
2019-09-01,29.24
2019-10-01,29.52
2019-11-01,29.38
2019-12-01,29.28
2020-01-01,29.16
2020-02-01,28.97
2020-03-01,28.93
2020-04-01,29
2020-05-01,28.79
2020-06-01,28.96
2020-07-01,28.8
2020-08-01,28.3
2020-09-01,28.18
2020-10-01,27.89
2020-11-01,27.9
2020-12-01,27.52
2021-01-01,27.14
2021-02-01,27.15
2021-03-01,27.75
2021-04-01,28.3
2021-05-01,28.72
2021-06-01,28.88
2021-07-01,28.65
2021-08-01,28.59
2021-09-01,28.2
2021-10-01,28.05
2021-11-01,27.92
2021-12-01,27.61
2022-01-01,27.95
2022-02-01,27.81
2022-03-01,27.49
2022-04-01,27.66
2022-05-01,27.88
2022-06-01,28.25
2022-07-01,27.85
2022-08-01,27.68
2022-09-01,27.61
2022-10-01,27.53
2022-11-01,27.69
2022-12-01,27.65
2023-01-01,27.56
2023-02-01,27.49
2023-03-01,28.05
2023-04-01,28.77
2023-05-01,29.11
2023-06-01,29.49
2023-07-01,29.51
NA,NA
