date,temperature
1981-09-01,22.23
1981-10-01,21.1
1981-11-01,19.94
1981-12-01,18.8
1982-01-01,17.69
1982-02-01,17.21
1982-03-01,17.21
1982-04-01,17.5
1982-05-01,18.44
1982-06-01,19.89
1982-07-01,21.26
1982-08-01,22.08
1982-09-01,21.94
1982-10-01,20.93
1982-11-01,19.68
1982-12-01,18.42
1983-01-01,17.61
1983-02-01,17.25
1983-03-01,17.34
1983-04-01,17.67
1983-05-01,18.62
1983-06-01,20.02
1983-07-01,21.44
1983-08-01,22.21
1983-09-01,22.06
1983-10-01,21.13
1983-11-01,19.94
1983-12-01,18.8
1984-01-01,17.76
1984-02-01,17.26
1984-03-01,17.12
1984-04-01,17.56
1984-05-01,18.47
1984-06-01,19.68
1984-07-01,21.19
1984-08-01,22.15
1984-09-01,22.03
1984-10-01,20.96
1984-11-01,19.68
1984-12-01,18.5
1985-01-01,17.51
1985-02-01,16.99
1985-03-01,16.99
1985-04-01,17.26
1985-05-01,18.32
1985-06-01,19.98
1985-07-01,21.43
1985-08-01,22.08
1985-09-01,21.94
1985-10-01,20.97
1985-11-01,19.69
1985-12-01,18.43
1986-01-01,17.45
1986-02-01,17.01
1986-03-01,16.94
1986-04-01,17.27
1986-05-01,18.33
1986-06-01,19.76
1986-07-01,21.26
1986-08-01,22.07
1986-09-01,21.91
1986-10-01,20.92
1986-11-01,19.64
1986-12-01,18.41
1987-01-01,17.63
1987-02-01,17.11
1987-03-01,17.21
1987-04-01,17.66
1987-05-01,18.65
1987-06-01,20.19
1987-07-01,21.73
1987-08-01,22.63
1987-09-01,22.43
1987-10-01,21.28
1987-11-01,19.94
1987-12-01,18.8
1988-01-01,17.75
1988-02-01,17.2
1988-03-01,17.22
1988-04-01,17.68
1988-05-01,18.7
1988-06-01,20.22
1988-07-01,21.59
1988-08-01,22.34
1988-09-01,22.16
1988-10-01,21.15
1988-11-01,19.91
1988-12-01,18.63
1989-01-01,17.64
1989-02-01,17.22
1989-03-01,17.06
1989-04-01,17.39
1989-05-01,18.51
1989-06-01,20.23
1989-07-01,21.68
1989-08-01,22.58
1989-09-01,22.15
1989-10-01,21.17
1989-11-01,19.91
1989-12-01,18.69
1990-01-01,17.66
1990-02-01,17.27
1990-03-01,17.18
1990-04-01,17.66
1990-05-01,18.65
1990-06-01,20.05
1990-07-01,21.55
1990-08-01,22.54
1990-09-01,22.48
1990-10-01,21.43
1990-11-01,20.01
1990-12-01,18.73
1991-01-01,17.68
1991-02-01,17.24
1991-03-01,17.17
1991-04-01,17.51
1991-05-01,18.46
1991-06-01,19.9
1991-07-01,21.41
1991-08-01,22.34
1991-09-01,22.2
1991-10-01,21.1
1991-11-01,19.8
1991-12-01,18.65
1992-01-01,17.71
1992-02-01,17.24
1992-03-01,17.22
1992-04-01,17.49
1992-05-01,18.43
1992-06-01,19.91
1992-07-01,21.27
1992-08-01,22.05
1992-09-01,21.87
1992-10-01,20.96
1992-11-01,19.67
1992-12-01,18.51
1993-01-01,17.68
1993-02-01,17.21
1993-03-01,17.05
1993-04-01,17.55
1993-05-01,18.4
1993-06-01,19.82
1993-07-01,21.17
1993-08-01,22.21
1993-09-01,22.15
1993-10-01,21.08
1993-11-01,19.74
1993-12-01,18.49
1994-01-01,17.52
1994-02-01,17
1994-03-01,17
1994-04-01,17.52
1994-05-01,18.48
1994-06-01,19.86
1994-07-01,21.34
1994-08-01,22.22
1994-09-01,22.07
1994-10-01,21.19
1994-11-01,20.02
1994-12-01,18.76
1995-01-01,17.87
1995-02-01,17.41
1995-03-01,17.36
1995-04-01,17.82
1995-05-01,19
1995-06-01,20.43
1995-07-01,21.89
1995-08-01,22.63
1995-09-01,22.36
1995-10-01,21.5
1995-11-01,20.22
1995-12-01,18.92
1996-01-01,17.89
1996-02-01,17.34
1996-03-01,17.2
1996-04-01,17.7
1996-05-01,18.56
1996-06-01,20.02
1996-07-01,21.43
1996-08-01,22.46
1996-09-01,22.35
1996-10-01,21.23
1996-11-01,19.96
1996-12-01,18.7
1997-01-01,17.88
1997-02-01,17.42
1997-03-01,17.35
1997-04-01,17.76
1997-05-01,18.73
1997-06-01,20.13
1997-07-01,21.74
1997-08-01,22.59
1997-09-01,22.46
1997-10-01,21.56
1997-11-01,20.19
1997-12-01,18.95
1998-01-01,18.12
1998-02-01,17.61
1998-03-01,17.5
1998-04-01,17.94
1998-05-01,18.96
1998-06-01,20.58
1998-07-01,22.02
1998-08-01,23.05
1998-09-01,22.6
1998-10-01,21.71
1998-11-01,20.44
1998-12-01,19.17
1999-01-01,17.97
1999-02-01,17.43
1999-03-01,17.39
1999-04-01,17.85
1999-05-01,18.99
1999-06-01,20.33
1999-07-01,21.83
1999-08-01,22.91
1999-09-01,22.62
1999-10-01,21.49
1999-11-01,20.12
1999-12-01,18.92
2000-01-01,17.85
2000-02-01,17.36
2000-03-01,17.44
2000-04-01,17.75
2000-05-01,18.8
2000-06-01,20.17
2000-07-01,21.68
2000-08-01,22.53
2000-09-01,22.45
2000-10-01,21.41
2000-11-01,20.14
2000-12-01,18.84
2001-01-01,17.85
2001-02-01,17.44
2001-03-01,17.45
2001-04-01,17.78
2001-05-01,18.72
2001-06-01,20.41
2001-07-01,21.87
2001-08-01,22.82
2001-09-01,22.76
2001-10-01,21.69
2001-11-01,20.34
2001-12-01,19.19
2002-01-01,18.28
2002-02-01,17.7
2002-03-01,17.52
2002-04-01,17.9
2002-05-01,18.71
2002-06-01,20.08
2002-07-01,21.49
2002-08-01,22.66
2002-09-01,22.48
2002-10-01,21.6
2002-11-01,20.35
2002-12-01,18.98
2003-01-01,18.08
2003-02-01,17.52
2003-03-01,17.58
2003-04-01,17.9
2003-05-01,18.9
2003-06-01,20.4
2003-07-01,22.05
2003-08-01,23.11
2003-09-01,22.87
2003-10-01,21.99
2003-11-01,20.47
2003-12-01,19.24
2004-01-01,18.27
2004-02-01,17.73
2004-03-01,17.65
2004-04-01,18.04
2004-05-01,18.79
2004-06-01,20.46
2004-07-01,21.91
2004-08-01,22.98
2004-09-01,22.62
2004-10-01,21.75
2004-11-01,20.42
2004-12-01,19.21
2005-01-01,18.25
2005-02-01,17.67
2005-03-01,17.73
2005-04-01,18.27
2005-05-01,19.17
2005-06-01,20.65
2005-07-01,22.26
2005-08-01,23.09
2005-09-01,22.9
2005-10-01,21.73
2005-11-01,20.43
2005-12-01,19.29
2006-01-01,18.26
2006-02-01,17.64
2006-03-01,17.54
2006-04-01,18.1
2006-05-01,19.22
2006-06-01,20.59
2006-07-01,22.02
2006-08-01,23.02
2006-09-01,22.88
2006-10-01,21.95
2006-11-01,20.68
2006-12-01,19.26
2007-01-01,18.32
2007-02-01,17.84
2007-03-01,17.68
2007-04-01,18.02
2007-05-01,19.01
2007-06-01,20.38
2007-07-01,21.87
2007-08-01,22.6
2007-09-01,22.61
2007-10-01,21.8
2007-11-01,20.5
2007-12-01,19.21
2008-01-01,18.18
2008-02-01,17.74
2008-03-01,17.66
2008-04-01,17.94
2008-05-01,19.12
2008-06-01,20.73
2008-07-01,22.14
2008-08-01,22.94
2008-09-01,22.79
2008-10-01,21.76
2008-11-01,20.32
2008-12-01,19.06
2009-01-01,18.06
2009-02-01,17.37
2009-03-01,17.32
2009-04-01,17.81
2009-05-01,18.78
2009-06-01,20.49
2009-07-01,22.09
2009-08-01,22.89
2009-09-01,22.6
2009-10-01,21.77
2009-11-01,20.43
2009-12-01,19.21
2010-01-01,18.13
2010-02-01,17.66
2010-03-01,17.66
2010-04-01,18.2
2010-05-01,19.24
2010-06-01,20.8
2010-07-01,22.26
2010-08-01,23.29
2010-09-01,22.96
2010-10-01,21.91
2010-11-01,20.54
2010-12-01,19.09
2011-01-01,18.17
2011-02-01,17.62
2011-03-01,17.49
2011-04-01,18.01
2011-05-01,19.01
2011-06-01,20.51
2011-07-01,21.85
2011-08-01,22.83
2011-09-01,22.69
2011-10-01,21.72
2011-11-01,20.3
2011-12-01,19.05
2012-01-01,18.13
2012-02-01,17.58
2012-03-01,17.52
2012-04-01,18.01
2012-05-01,19.01
2012-06-01,20.58
2012-07-01,22.12
2012-08-01,23.18
2012-09-01,23.01
2012-10-01,21.91
2012-11-01,20.47
2012-12-01,19.21
2013-01-01,18.24
2013-02-01,17.77
2013-03-01,17.73
2013-04-01,18.01
2013-05-01,18.91
2013-06-01,20.35
2013-07-01,21.98
2013-08-01,22.92
2013-09-01,22.86
2013-10-01,22.05
2013-11-01,20.52
2013-12-01,19.15
2014-01-01,18.1
2014-02-01,17.63
2014-03-01,17.49
2014-04-01,17.95
2014-05-01,18.91
2014-06-01,20.45
2014-07-01,22.14
2014-08-01,23.14
2014-09-01,23
2014-10-01,22.03
2014-11-01,20.55
2014-12-01,19.26
2015-01-01,18.23
2015-02-01,17.67
2015-03-01,17.52
2015-04-01,17.92
2015-05-01,18.91
2015-06-01,20.34
2015-07-01,21.85
2015-08-01,22.88
2015-09-01,22.94
2015-10-01,21.96
2015-11-01,20.58
2015-12-01,19.33
2016-01-01,18.39
2016-02-01,17.81
2016-03-01,17.74
2016-04-01,18.1
2016-05-01,19.25
2016-06-01,20.77
2016-07-01,22.25
2016-08-01,23.18
2016-09-01,22.96
2016-10-01,21.98
2016-11-01,20.73
2016-12-01,19.47
2017-01-01,18.43
2017-02-01,17.89
2017-03-01,17.72
2017-04-01,18.24
2017-05-01,19.2
2017-06-01,20.73
2017-07-01,22.26
2017-08-01,23.11
2017-09-01,22.96
2017-10-01,22
2017-11-01,20.8
2017-12-01,19.59
2018-01-01,18.39
2018-02-01,17.73
2018-03-01,17.63
2018-04-01,17.95
2018-05-01,18.93
2018-06-01,20.35
2018-07-01,21.84
2018-08-01,22.87
2018-09-01,22.76
2018-10-01,21.71
2018-11-01,20.31
2018-12-01,19.05
2019-01-01,18.21
2019-02-01,17.77
2019-03-01,17.65
2019-04-01,18.04
2019-05-01,19.02
2019-06-01,20.66
2019-07-01,22.31
2019-08-01,23.26
2019-09-01,22.96
2019-10-01,21.88
2019-11-01,20.54
2019-12-01,19.32
2020-01-01,18.38
2020-02-01,17.99
2020-03-01,17.89
2020-04-01,18.38
2020-05-01,19.17
2020-06-01,20.7
2020-07-01,22.29
2020-08-01,23.34
2020-09-01,23.08
2020-10-01,22.05
2020-11-01,20.67
2020-12-01,19.41
2021-01-01,18.45
2021-02-01,17.9
2021-03-01,17.79
2021-04-01,18.26
2021-05-01,19.25
2021-06-01,20.63
2021-07-01,22.16
2021-08-01,23.18
2021-09-01,23.22
2021-10-01,22.22
2021-11-01,20.93
2021-12-01,19.6
2022-01-01,18.63
2022-02-01,18.09
2022-03-01,17.84
2022-04-01,18.18
2022-05-01,19.31
2022-06-01,20.64
2022-07-01,22.08
2022-08-01,23.28
2022-09-01,23.35
2022-10-01,22.29
2022-11-01,20.87
2022-12-01,19.6
2023-01-01,18.59
2023-02-01,18.05
2023-03-01,18.07
2023-04-01,18.55
2023-05-01,19.57
2023-06-01,21.3
2023-07-01,23.05
2023-08-01,23.91
2023-09-01,23.73
2023-10-01,22.61
2023-11-01,21.14
2023-12-01,19.78
2024-01-01,18.82
2024-02-01,18.4
2024-03-01,18.35
2024-04-01,18.65
2024-05-01,19.81
NA,NA
