date,temperature
1981-09-01,23.55
1981-10-01,22.57
1981-11-01,21.18
1981-12-01,19.85
1982-01-01,18.81
1982-02-01,18.34
1982-03-01,18.41
1982-04-01,18.83
1982-05-01,19.87
1982-06-01,21.06
1982-07-01,22.32
1982-08-01,23.35
1982-09-01,23.25
1982-10-01,22.39
1982-11-01,21.13
1982-12-01,19.76
1983-01-01,18.72
1983-02-01,18.12
1983-03-01,18.18
1983-04-01,18.64
1983-05-01,19.61
1983-06-01,20.89
1983-07-01,22.29
1983-08-01,23.36
1983-09-01,23.52
1983-10-01,22.52
1983-11-01,21.17
1983-12-01,19.77
1984-01-01,18.79
1984-02-01,18.32
1984-03-01,18.37
1984-04-01,18.75
1984-05-01,19.86
1984-06-01,21.18
1984-07-01,22.7
1984-08-01,23.58
1984-09-01,23.62
1984-10-01,22.44
1984-11-01,21.1
1984-12-01,19.65
1985-01-01,18.59
1985-02-01,18.16
1985-03-01,18.18
1985-04-01,18.66
1985-05-01,19.57
1985-06-01,20.9
1985-07-01,22.35
1985-08-01,23.31
1985-09-01,23.45
1985-10-01,22.41
1985-11-01,21.17
1985-12-01,19.73
1986-01-01,18.71
1986-02-01,18.22
1986-03-01,18.21
1986-04-01,18.82
1986-05-01,19.73
1986-06-01,21.08
1986-07-01,22.44
1986-08-01,23.54
1986-09-01,23.55
1986-10-01,22.57
1986-11-01,21.15
1986-12-01,19.79
1987-01-01,18.64
1987-02-01,18.11
1987-03-01,18.24
1987-04-01,18.64
1987-05-01,19.68
1987-06-01,20.86
1987-07-01,22.28
1987-08-01,23.41
1987-09-01,23.38
1987-10-01,22.46
1987-11-01,21.29
1987-12-01,19.74
1988-01-01,18.88
1988-02-01,18.44
1988-03-01,18.45
1988-04-01,18.9
1988-05-01,19.8
1988-06-01,21.05
1988-07-01,22.54
1988-08-01,23.53
1988-09-01,23.44
1988-10-01,22.58
1988-11-01,21.05
1988-12-01,19.74
1989-01-01,18.81
1989-02-01,18.22
1989-03-01,18.32
1989-04-01,19.02
1989-05-01,19.92
1989-06-01,21.18
1989-07-01,22.61
1989-08-01,23.58
1989-09-01,23.58
1989-10-01,22.55
1989-11-01,21.22
1989-12-01,19.88
1990-01-01,18.91
1990-02-01,18.39
