date,temperature
1981-09-01,26.32
1981-10-01,26.99
1981-11-01,27.38
1981-12-01,27.82
1982-01-01,27.9
1982-02-01,27.84
1982-03-01,27.96
1982-04-01,27.97
1982-05-01,27.46
1982-06-01,26.53
1982-07-01,25.71
1982-08-01,25.42
1982-09-01,25.67
1982-10-01,26.15
1982-11-01,26.93
1982-12-01,28.13
1983-01-01,28.4
1983-02-01,28.51
1983-03-01,28.76
1983-04-01,28.63
1983-05-01,27.97
1983-06-01,27.19
1983-07-01,26.01
1983-08-01,25.73
1983-09-01,26.24
1983-10-01,26.96
1983-11-01,27.65
1983-12-01,27.73
1984-01-01,28.17
1984-02-01,28.12
1984-03-01,28.17
1984-04-01,28.17
1984-05-01,27.66
1984-06-01,26.86
1984-07-01,26.19
1984-08-01,25.88
1984-09-01,26.27
1984-10-01,26.79
1984-11-01,27.65
1984-12-01,27.84
1985-01-01,27.84
1985-02-01,28.2
1985-03-01,28.26
1985-04-01,28.28
1985-05-01,27.72
1985-06-01,26.94
1985-07-01,26.16
1985-08-01,25.67
1985-09-01,26.05
1985-10-01,26.57
1985-11-01,27.27
1985-12-01,27.8
1986-01-01,27.87
1986-02-01,27.81
1986-03-01,27.97
1986-04-01,27.96
1986-05-01,27.63
1986-06-01,26.82
1986-07-01,26.18
1986-08-01,25.64
1986-09-01,25.75
1986-10-01,26.53
1986-11-01,27.15
1986-12-01,27.69
1987-01-01,28.12
1987-02-01,27.87
1987-03-01,28.23
1987-04-01,28.19
1987-05-01,27.71
1987-06-01,26.83
1987-07-01,26.18
1987-08-01,25.76
1987-09-01,25.92
1987-10-01,26.59
1987-11-01,27.41
1987-12-01,27.62
1988-01-01,28.04
1988-02-01,28.43
1988-03-01,28.7
1988-04-01,28.55
1988-05-01,28.04
1988-06-01,27.12
1988-07-01,26.43
1988-08-01,26.29
1988-09-01,26.64
1988-10-01,27.4
1988-11-01,27.74
1988-12-01,27.72
1989-01-01,28.16
1989-02-01,28.04
1989-03-01,28.24
1989-04-01,28.26
1989-05-01,27.68
1989-06-01,26.94
1989-07-01,26.51
1989-08-01,26.14
1989-09-01,26.46
1989-10-01,26.99
1989-11-01,27.65
1989-12-01,27.9
1990-01-01,27.91
1990-02-01,28.36
1990-03-01,28.24
1990-04-01,28.36
1990-05-01,27.89
1990-06-01,26.98
1990-07-01,26.27
1990-08-01,25.99
1990-09-01,25.94
1990-10-01,26.65
1990-11-01,27.44
1990-12-01,27.93
1991-01-01,28.06
1991-02-01,27.98
1991-03-01,28
1991-04-01,27.95
1991-05-01,27.43
1991-06-01,26.81
1991-07-01,26.14
1991-08-01,25.87
1991-09-01,26.01
1991-10-01,26.55
1991-11-01,27.11
1991-12-01,27.74
1992-01-01,27.95
1992-02-01,28.15
1992-03-01,28.32
1992-04-01,28.36
1992-05-01,27.86
1992-06-01,27.15
1992-07-01,26.23
1992-08-01,25.92
1992-09-01,26.2
1992-10-01,26.37
1992-11-01,27.09
