date,temperature
1981-09-01,22.81
1981-10-01,22.56
1981-11-01,22.21
1981-12-01,22.13
1982-01-01,22.1
1982-02-01,22.05
1982-03-01,22.13
1982-04-01,22.21
1982-05-01,22.38
1982-06-01,22.44
1982-07-01,22.57
1982-08-01,22.8
1982-09-01,22.79
1982-10-01,22.65
1982-11-01,22.4
1982-12-01,22.3
1983-01-01,22.26
1983-02-01,22.21
1983-03-01,22.22
1983-04-01,22.26
1983-05-01,22.35
1983-06-01,22.54
1983-07-01,22.63
1983-08-01,22.83
1983-09-01,22.88
1983-10-01,22.58
1983-11-01,22.26
1983-12-01,22.01
1984-01-01,22.01
1984-02-01,22.09
1984-03-01,22.14
1984-04-01,22.16
1984-05-01,22.26
1984-06-01,22.34
1984-07-01,22.64
1984-08-01,22.83
1984-09-01,22.89
1984-10-01,22.45
1984-11-01,22.21
1984-12-01,21.9
1985-01-01,21.82
1985-02-01,21.88
1985-03-01,21.93
1985-04-01,21.95
1985-05-01,22.04
1985-06-01,22.13
1985-07-01,22.39
1985-08-01,22.57
1985-09-01,22.62
1985-10-01,22.39
1985-11-01,22.15
1985-12-01,21.95
1986-01-01,21.9
1986-02-01,21.92
1986-03-01,22.02
1986-04-01,22.09
1986-05-01,22.12
1986-06-01,22.32
1986-07-01,22.55
1986-08-01,22.8
1986-09-01,22.86
1986-10-01,22.68
1986-11-01,22.37
1986-12-01,22.1
1987-01-01,22.04
1987-02-01,22.07
1987-03-01,22.2
1987-04-01,22.16
1987-05-01,22.22
1987-06-01,22.33
1987-07-01,22.61
1987-08-01,22.84
1987-09-01,22.9
1987-10-01,22.65
1987-11-01,22.49
1987-12-01,22.2
1988-01-01,22.2
1988-02-01,22.26
1988-03-01,22.23
1988-04-01,22.21
1988-05-01,22.21
1988-06-01,22.29
1988-07-01,22.51
1988-08-01,22.74
1988-09-01,22.72
1988-10-01,22.48
1988-11-01,22.1
1988-12-01,21.85
1989-01-01,21.85
1989-02-01,21.88
1989-03-01,21.98
1989-04-01,22.17
1989-05-01,22.21
1989-06-01,22.38
1989-07-01,22.63
1989-08-01,22.81
1989-09-01,22.79
1989-10-01,22.52
1989-11-01,22.21
1989-12-01,22.02
1990-01-01,22.07
1990-02-01,22.14
1990-03-01,22.18
1990-04-01,22.32
1990-05-01,22.4
1990-06-01,22.51
1990-07-01,22.79
1990-08-01,22.99
1990-09-01,22.92
1990-10-01,22.71
1990-11-01,22.38
1990-12-01,22.2
1991-01-01,22.18
1991-02-01,22.23
1991-03-01,22.2
1991-04-01,22.34
1991-05-01,22.42
1991-06-01,22.56
1991-07-01,22.87
1991-08-01,23
1991-09-01,22.82
1991-10-01,22.61
1991-11-01,22.41
1991-12-01,22.24
1992-01-01,22.11
1992-02-01,22.17
1992-03-01,22.31
1992-04-01,22.4
1992-05-01,22.49
1992-06-01,22.57
1992-07-01,22.67
1992-08-01,22.9
1992-09-01,22.89
1992-10-01,22.55
1992-11-01,22.23
1992-12-01,22.05
1993-01-01,22.06
1993-02-01,22.09
1993-03-01,22.16
1993-04-01,22.2
1993-05-01,22.33
1993-06-01,22.41
1993-07-01,22.63
1993-08-01,22.78
1993-09-01,22.75
1993-10-01,22.54
1993-11-01,22.32
1993-12-01,22.15
1994-01-01,22.12
1994-02-01,22.13
1994-03-01,22.23
1994-04-01,22.22
1994-05-01,22.31
1994-06-01,22.45
1994-07-01,22.74
1994-08-01,23.02
1994-09-01,22.91
1994-10-01,22.75
1994-11-01,22.45
1994-12-01,22.23
1995-01-01,22.13
1995-02-01,22.18
1995-03-01,22.3
1995-04-01,22.3
1995-05-01,22.26
1995-06-01,22.46
1995-07-01,22.82
1995-08-01,23.01
1995-09-01,22.94
1995-10-01,22.62
1995-11-01,22.44
1995-12-01,22.26
1996-01-01,22.04
1996-02-01,22.13
1996-03-01,22.25
1996-04-01,22.24
1996-05-01,22.34
1996-06-01,22.55
1996-07-01,22.78
1996-08-01,23.02
1996-09-01,22.95
1996-10-01,22.69
1996-11-01,22.33
1996-12-01,22.14
1997-01-01,22.01
1997-02-01,22.23
1997-03-01,22.34
1997-04-01,22.39
1997-05-01,22.57
1997-06-01,22.81
1997-07-01,23.08
1997-08-01,23.27
1997-09-01,23.24
1997-10-01,22.97
1997-11-01,22.79
1997-12-01,22.59
1998-01-01,22.34
1998-02-01,22.37
1998-03-01,22.39
1998-04-01,22.47
1998-05-01,22.58
1998-06-01,22.64
1998-07-01,22.96
1998-08-01,23.18
1998-09-01,22.99
1998-10-01,22.73
1998-11-01,22.48
1998-12-01,22.17
1999-01-01,22.04
1999-02-01,22.09
1999-03-01,22.17
1999-04-01,22.12
1999-05-01,22.22
1999-06-01,22.35
1999-07-01,22.57
1999-08-01,22.72
1999-09-01,22.73
1999-10-01,22.51
1999-11-01,22.14
1999-12-01,21.91
2000-01-01,21.93
2000-02-01,22.08
2000-03-01,22.13
2000-04-01,22.21
2000-05-01,22.24
2000-06-01,22.45
2000-07-01,22.65
2000-08-01,22.92
2000-09-01,22.96
2000-10-01,22.66
2000-11-01,22.41
2000-12-01,22.19
2001-01-01,22.19
2001-02-01,22.21
2001-03-01,22.33
2001-04-01,22.42
2001-05-01,22.46
2001-06-01,22.68
2001-07-01,22.95
2001-08-01,23.09
2001-09-01,23.02
2001-10-01,22.74
2001-11-01,22.49
2001-12-01,22.17
2002-01-01,22.18
2002-02-01,22.27
2002-03-01,22.42
2002-04-01,22.53
2002-05-01,22.69
2002-06-01,22.86
2002-07-01,22.94
2002-08-01,23.08
2002-09-01,23.05
2002-10-01,22.83
