date,temperature
1981-09-01,21.67
1981-10-01,22.28
1981-11-01,23.03
1981-12-01,23.86
1982-01-01,24.63
1982-02-01,25.2
1982-03-01,25.38
1982-04-01,24.94
1982-05-01,24.03
1982-06-01,23.05
1982-07-01,22.05
1982-08-01,21.39
1982-09-01,21.62
1982-10-01,22.11
1982-11-01,22.7
1982-12-01,23.74
1983-01-01,24.9
1983-02-01,25.62
1983-03-01,25.58
1983-04-01,25.13
1983-05-01,24.21
1983-06-01,23.12
1983-07-01,22.16
1983-08-01,21.77
1983-09-01,21.75
1983-10-01,22.05
1983-11-01,23.01
1983-12-01,23.98
1984-01-01,24.95
1984-02-01,25.69
1984-03-01,25.95
1984-04-01,25.29
1984-05-01,24.59
1984-06-01,23.68
1984-07-01,22.65
1984-08-01,22.21
1984-09-01,22.17
1984-10-01,22.46
1984-11-01,23.05
1984-12-01,23.91
1985-01-01,24.54
1985-02-01,25.21
1985-03-01,25.33
1985-04-01,25.05
1985-05-01,24.32
1985-06-01,23.24
1985-07-01,22.27
1985-08-01,21.84
1985-09-01,21.73
1985-10-01,22.17
1985-11-01,22.82
1985-12-01,23.7
1986-01-01,24.73
1986-02-01,25.64
1986-03-01,25.74
1986-04-01,25.34
1986-05-01,24.56
1986-06-01,23.48
1986-07-01,22.38
1986-08-01,21.75
1986-09-01,21.8
1986-10-01,22.06
1986-11-01,22.76
1986-12-01,23.83
1987-01-01,24.66
1987-02-01,25.39
1987-03-01,25.75
1987-04-01,25.58
1987-05-01,24.79
1987-06-01,23.68
1987-07-01,22.78
1987-08-01,22.2
1987-09-01,22
1987-10-01,22.55
1987-11-01,23.34
1987-12-01,24.17
1988-01-01,25.14
1988-02-01,25.78
1988-03-01,25.95
1988-04-01,25.53
1988-05-01,24.75
1988-06-01,23.64
1988-07-01,22.54
1988-08-01,22
1988-09-01,21.86
1988-10-01,22.38
1988-11-01,23.07
1988-12-01,23.89
1989-01-01,25.02
1989-02-01,25.57
1989-03-01,25.76
1989-04-01,25.32
1989-05-01,24.46
1989-06-01,23.44
1989-07-01,22.44
1989-08-01,22
1989-09-01,21.92
1989-10-01,22.31
1989-11-01,22.82
1989-12-01,23.68
1990-01-01,24.48
1990-02-01,25.35
1990-03-01,25.69
1990-04-01,25.53
1990-05-01,24.54
1990-06-01,23.52
1990-07-01,22.39
1990-08-01,21.81
1990-09-01,21.82
1990-10-01,22.4
1990-11-01,23.08
1990-12-01,23.94
1991-01-01,24.54
1991-02-01,25.43
1991-03-01,25.62
1991-04-01,25.49
1991-05-01,24.73
1991-06-01,23.55
1991-07-01,22.36
1991-08-01,21.69
1991-09-01,21.75
1991-10-01,22.05
1991-11-01,22.65
1991-12-01,23.73
1992-01-01,24.48
1992-02-01,25.19
1992-03-01,25.19
1992-04-01,24.9
1992-05-01,24.17
1992-06-01,23.02
1992-07-01,22.04
1992-08-01,21.44
1992-09-01,21.52
1992-10-01,21.86
1992-11-01,22.63
1992-12-01,23.53
1993-01-01,24.66
1993-02-01,25.35
1993-03-01,25.52
1993-04-01,25.52
1993-05-01,24.43
1993-06-01,23.26
1993-07-01,22.36
1993-08-01,21.79
1993-09-01,22.18
1993-10-01,22.66
1993-11-01,23.37
1993-12-01,24.13
1994-01-01,24.86
1994-02-01,25.33
1994-03-01,25.68
1994-04-01,25.18
1994-05-01,24.5
1994-06-01,23.39
1994-07-01,22.24
1994-08-01,21.83
1994-09-01,21.65
1994-10-01,22.2
1994-11-01,23.05
1994-12-01,23.9
1995-01-01,24.86
1995-02-01,25.55
1995-03-01,25.87
1995-04-01,25.5
1995-05-01,24.58
1995-06-01,23.63
1995-07-01,22.5
1995-08-01,21.78
1995-09-01,21.79
1995-10-01,22.22
1995-11-01,22.99
1995-12-01,23.76
1996-01-01,24.67
1996-02-01,25.66
1996-03-01,25.66
1996-04-01,25.45
1996-05-01,24.6
1996-06-01,23.58
1996-07-01,22.41
1996-08-01,21.77
1996-09-01,21.59
1996-10-01,22.08
1996-11-01,22.64
1996-12-01,23.51
1997-01-01,24.29
1997-02-01,24.94
1997-03-01,25.07
1997-04-01,24.68
1997-05-01,23.96
1997-06-01,22.83
1997-07-01,22.14
1997-08-01,21.65
1997-09-01,21.84
1997-10-01,22.47
1997-11-01,23.26
1997-12-01,24.14
1998-01-01,25.04
1998-02-01,25.85
1998-03-01,26.04
1998-04-01,25.56
1998-05-01,24.65
1998-06-01,23.63
1998-07-01,22.82
1998-08-01,21.93
1998-09-01,21.89
1998-10-01,22.31
1998-11-01,23.08
1998-12-01,23.89
1999-01-01,24.74
1999-02-01,25.45
1999-03-01,25.71
1999-04-01,25.42
1999-05-01,24.61
1999-06-01,23.41
1999-07-01,22.59
1999-08-01,21.88
1999-09-01,21.95
1999-10-01,22.18
1999-11-01,22.95
1999-12-01,23.98
2000-01-01,24.71
2000-02-01,25.6
2000-03-01,25.67
2000-04-01,25.3
2000-05-01,24.48
2000-06-01,23.35
2000-07-01,22.46
2000-08-01,21.96
2000-09-01,21.89
2000-10-01,22.36
2000-11-01,23.06
2000-12-01,23.96
2001-01-01,25.03
2001-02-01,25.65
2001-03-01,25.89
2001-04-01,25.55
2001-05-01,24.83
2001-06-01,23.58
2001-07-01,22.56
2001-08-01,21.85
2001-09-01,21.85
2001-10-01,22.16
2001-11-01,23.2
2001-12-01,23.98
2002-01-01,24.85
2002-02-01,25.35
2002-03-01,25.87
2002-04-01,25.32
2002-05-01,24.76
2002-06-01,23.72
2002-07-01,22.69
2002-08-01,22.03
2002-09-01,21.87
2002-10-01,22.42
2002-11-01,23.09
2002-12-01,24.14
2003-01-01,25.26
2003-02-01,26.04
2003-03-01,26.3
2003-04-01,25.71
2003-05-01,24.78
2003-06-01,23.58
2003-07-01,22.78
2003-08-01,22.4
2003-09-01,22.21
2003-10-01,22.74
2003-11-01,23.38
2003-12-01,24.24
2004-01-01,24.85
2004-02-01,25.34
2004-03-01,25.5
2004-04-01,25.22
2004-05-01,24.41
2004-06-01,23.41
2004-07-01,22.59
2004-08-01,22.13
2004-09-01,22.23
2004-10-01,22.47
2004-11-01,23.33
2004-12-01,24.09
2005-01-01,25.13
2005-02-01,25.63
2005-03-01,26.02
2005-04-01,25.66
2005-05-01,24.64
2005-06-01,23.47
2005-07-01,22.52
2005-08-01,22.1
2005-09-01,22.08
2005-10-01,22.52
2005-11-01,23.19
2005-12-01,24.14
2006-01-01,24.98
2006-02-01,25.77
2006-03-01,25.94
2006-04-01,25.59
2006-05-01,24.72
2006-06-01,23.65
2006-07-01,22.57
2006-08-01,22.13
2006-09-01,22.15
2006-10-01,22.43
2006-11-01,23.11
2006-12-01,24.21
2007-01-01,25.12
2007-02-01,25.82
2007-03-01,26
2007-04-01,25.68
2007-05-01,24.78
2007-06-01,23.63
2007-07-01,22.64
2007-08-01,22.05
2007-09-01,22.11
2007-10-01,22.45
2007-11-01,23.25
2007-12-01,24.15
2008-01-01,25.05
2008-02-01,25.73
2008-03-01,25.99
2008-04-01,25.66
2008-05-01,24.96
2008-06-01,23.73
2008-07-01,22.79
2008-08-01,22.32
2008-09-01,22.14
2008-10-01,22.41
2008-11-01,23.14
2008-12-01,24.02
2009-01-01,24.89
2009-02-01,25.53
2009-03-01,25.92
2009-04-01,25.64
2009-05-01,24.87
2009-06-01,23.87
2009-07-01,22.74
2009-08-01,22.1
2009-09-01,22.22
2009-10-01,22.71
2009-11-01,23.52
2009-12-01,24.6
2010-01-01,25.59
2010-02-01,26.25
2010-03-01,26.48
2010-04-01,26.07
2010-05-01,25.22
2010-06-01,24.05
2010-07-01,22.83
2010-08-01,22.12
2010-09-01,21.98
2010-10-01,22.52
2010-11-01,23.26
2010-12-01,24.14
2011-01-01,24.95
2011-02-01,25.98
2011-03-01,26.1
2011-04-01,25.66
2011-05-01,24.73
2011-06-01,23.47
2011-07-01,22.58
2011-08-01,21.96
2011-09-01,21.9
2011-10-01,22.3
2011-11-01,22.78
2011-12-01,23.4
2012-01-01,24.62
2012-02-01,25.25
2012-03-01,25.8
2012-04-01,25.26
2012-05-01,24.54
2012-06-01,23.33
2012-07-01,22.58
2012-08-01,21.98
2012-09-01,22
2012-10-01,22.29
2012-11-01,23.08
2012-12-01,24.08
2013-01-01,25.03
2013-02-01,25.59
2013-03-01,25.91
2013-04-01,25.42
2013-05-01,24.65
2013-06-01,23.54
2013-07-01,22.6
2013-08-01,22.15
2013-09-01,22.01
2013-10-01,22.37
2013-11-01,23.03
2013-12-01,24.11
2014-01-01,25.25
2014-02-01,26.18
2014-03-01,26.09
2014-04-01,25.66
2014-05-01,24.91
2014-06-01,23.74
2014-07-01,22.63
2014-08-01,21.97
2014-09-01,21.99
2014-10-01,22.55
2014-11-01,23.12
2014-12-01,24.05
2015-01-01,25.51
2015-02-01,26.06
2015-03-01,25.97
2015-04-01,25.69
2015-05-01,24.87
2015-06-01,23.72
2015-07-01,22.64
2015-08-01,21.97
2015-09-01,22.04
2015-10-01,22.57
2015-11-01,23.36
2015-12-01,24.54
2016-01-01,25.48
2016-02-01,26.19
2016-03-01,26.4
2016-04-01,25.93
2016-05-01,25.02
2016-06-01,24.03
2016-07-01,23.08
2016-08-01,22.52
2016-09-01,22.38
2016-10-01,22.79
2016-11-01,23.36
2016-12-01,24.52
2017-01-01,25.55
2017-02-01,25.95
2017-03-01,26.13
2017-04-01,25.81
2017-05-01,24.9
2017-06-01,23.87
2017-07-01,22.8
2017-08-01,22.36
2017-09-01,22.22
2017-10-01,22.62
2017-11-01,23.2
2017-12-01,23.87
2018-01-01,25.15
2018-02-01,25.61
2018-03-01,25.95
2018-04-01,25.75
2018-05-01,24.79
2018-06-01,23.76
2018-07-01,22.78
2018-08-01,22.27
2018-09-01,22.21
2018-10-01,22.74
2018-11-01,23.37
2018-12-01,24.35
2019-01-01,25.59
2019-02-01,26.3
2019-03-01,26.6
2019-04-01,26.01
2019-05-01,25.08
2019-06-01,23.94
2019-07-01,22.86
2019-08-01,22.2
2019-09-01,22.32
2019-10-01,22.8
2019-11-01,23.69
2019-12-01,24.52
2020-01-01,25.67
2020-02-01,26.05
2020-03-01,26.31
2020-04-01,25.93
2020-05-01,25.15
2020-06-01,23.98
2020-07-01,22.93
2020-08-01,22.51
2020-09-01,22.36
2020-10-01,22.74
2020-11-01,23.38
2020-12-01,24.26
2021-01-01,25.28
2021-02-01,25.89
2021-03-01,26.06
2021-04-01,25.9
2021-05-01,25.2
2021-06-01,24.13
2021-07-01,23.23
2021-08-01,22.64
2021-09-01,22.51
2021-10-01,22.93
2021-11-01,23.64
2021-12-01,24.3
2022-01-01,25.39
2022-02-01,26.28
2022-03-01,26.29
2022-04-01,25.74
2022-05-01,24.89
2022-06-01,23.87
2022-07-01,22.78
2022-08-01,22.28
2022-09-01,22.18
2022-10-01,22.78
2022-11-01,23.59
2022-12-01,24.45
2023-01-01,25.45
2023-02-01,26.09
2023-03-01,26.29
2023-04-01,25.96
2023-05-01,25.35
2023-06-01,24.05
2023-07-01,22.99
2023-08-01,22.48
2023-09-01,22.37
2023-10-01,22.67
2023-11-01,23.81
2023-12-01,25.05
NA,NA
