date,temperature
1981-09-01,22.22
1981-10-01,22.54
1981-11-01,23.03
1981-12-01,23.92
1982-01-01,24.7
1982-02-01,24.97
1982-03-01,25.06
1982-04-01,24.88
1982-05-01,24.37
1982-06-01,23.53
1982-07-01,22.76
1982-08-01,22.37
1982-09-01,22.43
1982-10-01,22.85
1982-11-01,23.41
1982-12-01,24.31
1983-01-01,25.04
1983-02-01,25.43
1983-03-01,25.4
1983-04-01,25.12
1983-05-01,24.51
1983-06-01,23.84
1983-07-01,22.89
1983-08-01,22.41
1983-09-01,22.38
1983-10-01,22.62
1983-11-01,23.12
1983-12-01,23.78
1984-01-01,24.54
1984-02-01,25.06
1984-03-01,25.1
1984-04-01,24.84
1984-05-01,24.15
1984-06-01,23.25
1984-07-01,22.59
1984-08-01,22.23
1984-09-01,22.31
1984-10-01,22.47
1984-11-01,23.09
1984-12-01,23.67
1985-01-01,24.37
1985-02-01,24.82
1985-03-01,24.89
1985-04-01,24.53
1985-05-01,23.99
1985-06-01,23.11
1985-07-01,22.43
1985-08-01,22
1985-09-01,21.96
1985-10-01,22.37
1985-11-01,22.92
1985-12-01,23.7
1986-01-01,24.42
1986-02-01,24.84
1986-03-01,25.02
1986-04-01,24.67
1986-05-01,24
1986-06-01,23.3
1986-07-01,22.64
1986-08-01,22.23
1986-09-01,22.32
1986-10-01,22.78
1986-11-01,23.33
1986-12-01,23.93
1987-01-01,24.73
1987-02-01,25.19
1987-03-01,25.31
1987-04-01,24.93
1987-05-01,24.22
1987-06-01,23.49
1987-07-01,22.88
1987-08-01,22.4
1987-09-01,22.53
1987-10-01,22.8
1987-11-01,23.44
1987-12-01,24.15
1988-01-01,24.82
1988-02-01,25.26
1988-03-01,25.2
1988-04-01,24.81
1988-05-01,24.1
1988-06-01,23.27
1988-07-01,22.48
1988-08-01,22.11
1988-09-01,22.15
1988-10-01,22.4
1988-11-01,22.93
1988-12-01,23.51
1989-01-01,24.23
1989-02-01,24.76
1989-03-01,24.86
1989-04-01,24.65
1989-05-01,24
1989-06-01,23.33
1989-07-01,22.65
1989-08-01,22.21
1989-09-01,22.18
1989-10-01,22.5
1989-11-01,22.99
1989-12-01,23.71
1990-01-01,24.56
1990-02-01,25.1
1990-03-01,25.13
1990-04-01,24.93
1990-05-01,24.33
1990-06-01,23.53
1990-07-01,22.79
1990-08-01,22.35
1990-09-01,22.28
