date,temperature
1981-09-01,4.57
1981-10-01,4.67
1981-11-01,5.19
1981-12-01,6.21
1982-01-01,7.09
1982-02-01,7.33
1982-03-01,7.13
1982-04-01,6.58
1982-05-01,5.86
1982-06-01,5.12
1982-07-01,4.7
1982-08-01,4.43
1982-09-01,4.44
1982-10-01,4.63
1982-11-01,5.17
1982-12-01,6.07
1983-01-01,7.07
1983-02-01,7.52
1983-03-01,7.17
1983-04-01,6.64
1983-05-01,5.92
1983-06-01,5.17
1983-07-01,4.65
1983-08-01,4.5
1983-09-01,4.39
1983-10-01,4.68
1983-11-01,5.25
1983-12-01,6.13
1984-01-01,6.97
1984-02-01,7.45
1984-03-01,7.08
1984-04-01,6.54
1984-05-01,5.84
1984-06-01,5.25
1984-07-01,4.6
1984-08-01,4.44
1984-09-01,4.47
1984-10-01,4.55
1984-11-01,5.17
1984-12-01,6.05
1985-01-01,7.15
1985-02-01,7.55
1985-03-01,7.27
1985-04-01,6.56
1985-05-01,5.82
1985-06-01,5.14
1985-07-01,4.78
1985-08-01,4.42
1985-09-01,4.4
1985-10-01,4.71
1985-11-01,5.1
1985-12-01,6.09
1986-01-01,6.82
1986-02-01,7.36
1986-03-01,7.16
1986-04-01,6.5
1986-05-01,5.83
1986-06-01,5.27
1986-07-01,4.73
1986-08-01,4.51
1986-09-01,4.49
1986-10-01,4.71
1986-11-01,5.26
1986-12-01,6.02
1987-01-01,6.97
1987-02-01,7.43
1987-03-01,7.16
1987-04-01,6.59
1987-05-01,5.78
1987-06-01,5.16
1987-07-01,4.74
1987-08-01,4.59
1987-09-01,4.55
1987-10-01,4.67
1987-11-01,5.15
1987-12-01,6.08
1988-01-01,6.99
1988-02-01,7.41
1988-03-01,7.12
1988-04-01,6.57
1988-05-01,5.88
1988-06-01,5.3
1988-07-01,4.69
1988-08-01,4.46
1988-09-01,4.4
1988-10-01,4.58
1988-11-01,5.03
1988-12-01,5.99
1989-01-01,7.02
1989-02-01,7.4
1989-03-01,7.24
1989-04-01,6.55
1989-05-01,5.94
1989-06-01,5.11
1989-07-01,4.78
1989-08-01,4.42
1989-09-01,4.45
1989-10-01,4.58
1989-11-01,5.33
1989-12-01,6.14
1990-01-01,7.1
1990-02-01,7.57
1990-03-01,7.26
1990-04-01,6.58
1990-05-01,5.93
1990-06-01,5.17
1990-07-01,4.74
1990-08-01,4.51
1990-09-01,4.4
1990-10-01,4.64
1990-11-01,5.11
1990-12-01,5.95
1991-01-01,6.87
1991-02-01,7.36
1991-03-01,7.23
1991-04-01,6.67
1991-05-01,5.91
1991-06-01,5.22
1991-07-01,4.8
1991-08-01,4.49
1991-09-01,4.56
1991-10-01,4.73
1991-11-01,5.13
1991-12-01,6.11
1992-01-01,7.14
1992-02-01,7.62
1992-03-01,7.25
1992-04-01,6.6
1992-05-01,5.91
1992-06-01,5.22
1992-07-01,4.76
1992-08-01,4.53
1992-09-01,4.59
1992-10-01,4.72
1992-11-01,5.33
1992-12-01,6.23
1993-01-01,7.22
1993-02-01,7.58
1993-03-01,7.4
1993-04-01,6.6
1993-05-01,5.95
1993-06-01,5.24
1993-07-01,4.74
1993-08-01,4.7
1993-09-01,4.56
1993-10-01,4.79
1993-11-01,5.3
1993-12-01,6.11
1994-01-01,7.01
1994-02-01,7.31
1994-03-01,7.23
1994-04-01,6.57
1994-05-01,5.96
1994-06-01,5.14
1994-07-01,4.76
1994-08-01,4.62
1994-09-01,4.42
1994-10-01,4.5
1994-11-01,5.15
1994-12-01,6.01
1995-01-01,6.96
